No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL,Dark_Mode_Strategy,AI_Integration_Level,Privacy_Tier,Agent_Readiness,Performance_Budget
24,Overlay,Use Popover for contextual content,Content positioned relative to trigger,Popover for filters settings previews,Custom absolute-positioned div,"<Popover><PopoverTrigger><PopoverContent>","<div className='absolute'>",Medium,https://ui.shadcn.com/docs/components/popover,token-based,none,none,none,standard
25,Overlay,Use Tooltip for hints,Accessible tooltips on hover/focus,Tooltip with TooltipProvider,Title attribute or custom tooltip,"<Tooltip><TooltipTrigger><TooltipContent>","title='help text'",Low,https://ui.shadcn.com/docs/components/tooltip,token-based,none,none,none,standard
26,Overlay,Use DropdownMenu for actions,Accessible dropdown for action menus,DropdownMenu with DropdownMenuTrigger + Content,Custom positioned dropdown,"<DropdownMenu><DropdownMenuTrigger><DropdownMenuContent>","<div className='dropdown' onClick>",Medium,https://ui.shadcn.com/docs/components/dropdown-menu,token-based,none,none,agent-aware,standard
27,Overlay,Use ContextMenu for right-click,Context menu on right-click,ContextMenu for right-click actions,Custom contextmenu event,"<ContextMenu><ContextMenuTrigger><ContextMenuContent>","addEventListener('contextmenu')",Low,https://ui.shadcn.com/docs/components/context-menu,token-based,none,none,agent-aware,standard
28,Overlay,Use Command for command palette,Search and command component,Command for palette/search,Custom search modal,"<Command><CommandInput /><CommandList><CommandGroup>","Custom search from scratch",Medium,https://ui.shadcn.com/docs/components/command,token-based,ai-recommended,none,agent-optimized,standard
29,Feedback,Use Toast for notifications,Non-blocking notification messages,toast() from useToast hook,Custom notification system,"toast({ title: 'Saved', description: 'Changes saved.' })","Custom toast component",Medium,https://ui.shadcn.com/docs/components/toast,token-based,none,none,none,standard
30,Feedback,Use Alert for messages,Important inline messages,Alert with AlertTitle + AlertDescription,Custom styled div,"<Alert><AlertTitle>Warning</AlertTitle><AlertDescription>","<div className='bg-yellow-100'>",Low,https://ui.shadcn.com/docs/components/alert,token-based,none,none,none,standard
31,Feedback,Use Progress for operations,Progress bar for determinate operations,Progress with value prop,No progress feedback,"<Progress value={66} />","No feedback during upload",Medium,https://ui.shadcn.com/docs/components/progress,token-based,none,none,agent-aware,standard
32,Content,Use Accordion for collapsible,Accessible expand/collapse,Accordion with AccordionItem,Custom toggle visibility,"<Accordion><AccordionItem><AccordionTrigger>","<div onClick={() => setOpen(!open)}>",Low,https://ui.shadcn.com/docs/components/accordion,token-based,none,none,none,standard
33,Content,Use Carousel for slideshows,Embla-based carousel,Carousel with CarouselContent + CarouselItem,Custom slider,"<Carousel><CarouselContent><CarouselItem>","Custom swipeable div",Low,https://ui.shadcn.com/docs/components/carousel,token-based,none,none,none,standard
34,Content,Use Avatar for user images,Consistent avatar with fallback,Avatar + AvatarImage + AvatarFallback,Custom img with fallback logic,"<Avatar><AvatarImage src={url} /><AvatarFallback>JD</AvatarFallback></Avatar>","<img onError={setFallback}>",Low,https://ui.shadcn.com/docs/components/avatar,token-based,none,none,none,standard
35,Content,Use Card for sections,Structured content container,Card + CardHeader + CardContent + CardFooter,Custom div containers,"<Card><CardHeader><CardTitle>","<div className='border rounded-lg'>",Low,https://ui.shadcn.com/docs/components/card,token-based,none,none,none,standard
36,Content,Use Separator for dividers,Accessible divider component,Separator between sections,<hr> or custom border,"<Separator />","<hr className='custom'>",Low,https://ui.shadcn.com/docs/components/separator,token-based,none,none,none,standard
37,Charts,Use chart components,Recharts-based chart integration,shadcn chart primitives for data viz,Custom chart library setup,"<ChartContainer config={config}><BarChart data={data}>","Custom d3 chart from scratch",Medium,https://ui.shadcn.com/docs/components/chart,token-based,ai-optional,none,none,standard
38,Accessibility,Use proper component semantics,Components have built-in ARIA,Rely on built-in accessibility,Override ARIA attributes,"Default Dialog/Sheet/Alert semantics","aria-hidden on interactive elements",High,,not-applicable,none,none,none,standard
39,Accessibility,Use label associations,Connect labels to inputs,FormLabel with htmlFor matching input id,Labels without association,"<FormField> auto-associates","<label>Email</label><input /> no htmlFor",Medium,,not-applicable,none,none,none,standard
40,AI,Build AI chat with shadcn,Chat UI using Card + Input + ScrollArea,Compose AI chat from primitives,Custom chat UI from scratch,"<Card><ScrollArea>messages</ScrollArea><Input />","Custom div-based chat",Medium,,token-based,ai-native,basic,agent-native,standard
41,AI,Label AI content with Badge,Clear AI attribution,Badge variant for AI indicators,No AI markers,"<Badge variant='secondary'>AI Generated</Badge>","No attribution",High,,not-applicable,ai-native,gdpr-ready,agent-native,standard
42,Privacy,Consent via AlertDialog,Privacy consent using built-in dialog,AlertDialog for cookie/data consent,Hidden consent flows,"<AlertDialog> for consent","No consent UI",High,,not-applicable,none,gdpr-ready,agent-aware,standard
43,Agent,Stable test selectors,AI agents need predictable selectors,data-testid on key shadcn components,Dynamic class-only targeting,"data-testid='submit-btn'","Random Tailwind classes only",Medium,,not-applicable,ai-native,none,agent-native,standard
