No,Category,Pattern_Name,Description,Data_Size,Do,Don't,Code_Good,Code_Bad,Severity,A11y_Note,Performance_Note,Docs_URL
11,Filtering,Active Filter Chips,Show removable chips for each active filter above table,Any,Show chip per active filter with X to remove. Include 'Clear all' button.,Apply filters with no visible indicator of what's filtered — user forgets,"<div class='flex gap-2'><span>Status: Active <button aria-label='Remove filter'>×</button></span></div>","Filters applied but no visible indication — user confused why data is missing",High,Each chip button needs aria-label='Remove filter: Status Active',Lightweight rendering. Chips are just spans with click handlers.,
12,Pagination,Table Pagination Controls,Page size selector + page navigation below table,Large,Show rows-per-page selector (10/25/50/100) + page numbers + row count range,Show all 10000 rows on one page — browser freezes,"<select aria-label='Rows per page'><option>25</option></select> Showing 1-25 of 342","<div>Page 1</div> with no rows-per-page option — stuck with default",High,aria-label on page size selector. Announce page change.,Server-side pagination for >1000 rows. Include total count in API response.,
13,Pagination,Virtual Scrolling,Render only visible rows in viewport for massive datasets,Very Large,Use virtualization library (TanStack Virtual/react-window) for 10K+ rows,Render all 50000 rows in DOM — browser crashes,"<VirtualTable rowHeight={40} totalRows={50000} renderRow={renderRow} />","rows.map(r => <tr>...</tr>) for 50K rows — 50K DOM nodes",Critical,Virtual tables break native table accessibility. Add role='grid'.,Reduces DOM from 50K to ~30 visible nodes. Essential for large data.,
14,Cell Content,Truncation with Tooltip,Truncate long cell text with ellipsis and show full text on hover,Any,Truncate with CSS text-overflow:ellipsis. Tooltip on hover/focus shows full text.,Truncate without any way to see full text — data is lost,"<td class='truncate max-w-[200px]' title={fullText}>{text}</td>","<td class='truncate'> — no way to read truncated content",Medium,title attribute provides native tooltip. Add aria-label for full text.,CSS truncation is zero-cost. Tooltips render on demand.,
15,Cell Content,Inline Editing,Click cell to edit value directly in the table,Any,Click/Enter to edit. Escape to cancel. Tab to save and move to next cell.,Require separate edit form/modal for every field change — slow workflow,"<td onClick={enableEdit}>{editing ? <input autoFocus onBlur={save}/> : value}</td>","Edit button per row opens modal form — 3 clicks per edit",Medium,Announce edit mode via aria-live. Input needs aria-label with column name.,Only render input for active cell — don't render all cells as inputs.,
16,Cell Content,Status Badge,Color-coded badge/pill showing row status,Any,Use color + text label + icon. Never color alone as indicator.,Use color alone for status — colorblind users can't distinguish,"<span class='bg-green-100 text-green-800'>✓ Active</span>","<span class='bg-green-500 rounded-full w-3 h-3'></span> — color only; no text",High,Status text is accessible. Color alone violates WCAG 1.4.1.,Badges are lightweight spans. No performance concern.,
17,Cell Content,Expandable Row,Click row to expand detail section below it,Any,Show expand chevron. Expand pushes rows down — don't overlay.,Open detail in modal for every row — breaks table scanning flow,"<tr><td colspan={cols}><div class='px-4 py-2'>Details...</div></td></tr>","Modal popup for row details — user can't compare rows",Medium,aria-expanded on trigger. aria-controls pointing to detail panel.,Only render expanded detail content on demand — not for all rows.,
18,Bulk Actions,Floating Action Bar,Sticky bar appearing when rows selected showing bulk actions,Any,Show bar at bottom with selected count + actions (Delete/Export/Archive),Put bulk actions in dropdown menu — user doesn't find them,"<div class='fixed bottom-4 bg-gray-900 text-white rounded-lg p-3'>3 selected: [Delete] [Export]</div>","Bulk actions hidden in three-dot menu — low discoverability",Medium,Announce selected count changes. Action buttons need clear labels.,Bar renders conditionally — no cost when no selection.,
19,Bulk Actions,Select All Across Pages,Select all rows including un-loaded pages,Large,Show banner: 'All 25 on this page selected. Select all 342 rows?' with action link.,Select all selects only visible page — user expects all matching results,"<div>25 selected. <button>Select all 342 matching rows</button></div>","Select all checkbox only selects visible 25 of 342 — user unknowingly deletes only 25",Critical,Announce selection scope change via aria-live,Store 'select all' as flag — don't load all IDs into memory.,
20,Empty State,No Results,Table state when no data matches filters or is empty,Any,Show illustration + message + clear suggestion (clear filters / add data),Show blank table with just headers — user thinks page is broken,"<tr><td colspan={cols}><div class='text-center py-12'>No results found. <button>Clear filters</button></div></td></tr>","Empty <tbody> — just column headers with nothing below",High,Empty state message in aria-live region,No performance concern — single DOM element.,
21,Loading,Skeleton Rows,Placeholder skeleton rows while data loads,Any,Show 5-10 skeleton rows matching actual column widths,Show spinner over empty table — no layout hint,"<tr><td><div class='animate-pulse bg-gray-200 h-4 rounded'></div></td></tr>","<div class='spinner'> centered over empty table",Medium,aria-busy='true' on table during load. aria-live announces when ready.,Skeleton CSS animation is GPU-accelerated. Lightweight.,
22,Loading,Progressive Loading,Show table structure immediately then load data progressively,Large,Render table frame + headers + skeleton instantly. Data fills in.,Wait for all data before showing any table — long blank screen,Render thead immediately → show skeleton tbody → replace with real data on fetch,await fetchAll() then render entire table — 3s blank screen,High,Announce data loaded via aria-live when skeleton replaced.,First paint <200ms with skeleton. Data appears progressively.,
23,Export,CSV/Excel Export,Allow users to export table data as file,Any,Export current filtered/sorted view — not raw data. Show progress for large exports.,Export all data when user has active filters — unexpected,"<button onClick={() => exportCSV(filteredRows)}>Export {filteredRows.length} rows</button>","Export all 10K rows when user filtered to 50 — user gets wrong data",Medium,Button is naturally accessible. Announce download started.,Generate CSV client-side for <10K rows. Server-side for larger.,
24,Export,Copy Row Data,Copy single row data to clipboard for quick sharing,Any,Right-click → Copy row or copy icon button per row,No way to copy individual row data — user manually selects text,"navigator.clipboard.writeText(JSON.stringify(rowData))",User manually triple-clicks to select cell text — unreliable,Low,Announce 'Copied to clipboard' via aria-live on success,Clipboard API is async and lightweight.,
25,Column,Column Visibility Toggle,Show/hide columns via dropdown selector,Wide Tables,Persist column preferences. Show column count indicator.,Show 20 columns by default — overwhelming table width,"<button aria-haspopup='true'>Columns (8/15)</button> + checkbox dropdown","All 15 columns visible — table is 3000px wide; horizontal scroll needed",Medium,Dropdown needs proper aria-haspopup and keyboard support,Only render visible column TDs — reduces DOM per row.,
26,Column,Pinned/Frozen Columns,Pin first column(s) so they stay visible during horizontal scroll,Wide Tables,Pin ID/name column on left. Separator shadow on frozen column edge.,Freeze too many columns — main content area becomes too narrow,"<th class='sticky left-0 z-10 bg-white shadow-[2px_0_4px_rgba(0,0,0,0.1)]'>","<th style='position:fixed'> — completely breaks table layout",High,Pinned columns maintain their th/td association,CSS sticky is performant. No JS needed for basic pinning.,
27,Density,Compact Mode,Reduced row padding for data-dense views,Large,Offer density toggle: Comfortable / Compact / Dense,One size fits all — power users want dense; new users want comfortable,"<table class={density === 'compact' ? 'text-sm [&_td]:py-1' : 'text-base [&_td]:py-3'}>","Fixed padding with no density option — wastes space for power users",Low,Ensure touch targets remain ≥44px in compact mode,Smaller rows = more visible data. Better perceived performance.,
28,Density,Row Striping,Alternating row background colors for visual scanning,Any,Use subtle alternating backgrounds (white/gray-50). Disable in dark mode or adjust.,Heavy stripes with high contrast — distracting,"<tbody class='[&>tr:nth-child(even)]:bg-gray-50'>","<tr style='background:rgba(0,0,0,0.1)'> on every other row — too dark",Low,Row striping helps track data across wide tables,Zero cost — pure CSS nth-child selector.,
29,Interaction,Drag to Reorder Rows,Drag rows to reorder them (priority lists/kanban),Small/Med,Show drag handle on left. Animate reorder. Save new order.,Enable drag on the entire row — conflicts with text selection,"<td><button aria-label='Drag to reorder' class='cursor-grab'>⠿</button></td>","<tr draggable='true'> — text selection broken; no drag handle",Medium,Announce reorder changes via aria-live. Keyboard reorder with Alt+↑/↓,Use requestAnimationFrame for smooth drag animation.,
30,Interaction,Column Reorder Drag,Drag column headers to reorder columns,Any,Show drag preview of column. Snap to position. Persist order.,Allow reorder but reset on refresh — user does it again every time,"onDragEnd: reorderColumns(fromIdx, toIdx); localStorage.set('colOrder', newOrder)","Column reorder but no persistence — frustrating repetition",Low,Announce column reorder completion via aria-live,Reorder is a one-time operation — no ongoing performance cost.,
