No,Category,Pattern_Name,Description,Platform,Do,Don't,Code_Good,Code_Bad,Severity,A11y_Note,Performance_Note,Docs_URL
11,Mobile Nav,Pull-to-Refresh,Swipe down gesture to refresh content (mobile pattern),Mobile,Show spinner + subtle haptic feedback during refresh,Trigger on tiny swipe — users refresh accidentally,"<div onTouchStart={start} onTouchMove={move} onTouchEnd={refresh}>",Refresh on any scroll up — broken UX,Medium,Not accessible via keyboard — provide manual refresh button too,Debounce to prevent double refresh. Cancel if swipe < threshold.,
12,Mobile Nav,Swipe Navigation,Horizontal swipe to navigate between tabs/pages,Mobile,Add visual indicators (dots/tabs) showing swipeable pages,Allow swipe only — some users can't perform gesture,"<div class='flex snap-x snap-mandatory overflow-x-auto'>","<div onSwipe={changePage}> with no visual hint pages exist",Medium,Provide prev/next buttons as keyboard-accessible alternative,Use CSS scroll-snap for native performance over JS solutions,
13,Pagination,Classic Pagination,Numbered page links with prev/next at ends,Web,Show current page + 2 neighbors + first/last with ellipsis,Show all 50 page numbers — overwhelming,"<nav aria-label='Pagination'><a aria-current='page'>3</a>","<div class='pages'> with 50 links",Medium,aria-label='Pagination' on nav. aria-current='page' on active.,Server-side pagination = fast. Client-side = requires all data loaded.,
14,Pagination,Infinite Scroll,Auto-load more content when scrolling near bottom,Web/Mobile,Show loading skeleton at bottom + 'Load more' fallback button,Remove all pagination controls — user can't jump to specific content,"observer.observe(sentinel); loadMore() when sentinel visible","onscroll: if(scrollY + innerHeight >= scrollHeight) loadMore() — fires too often",High,Announce new content via aria-live='polite' region,Use IntersectionObserver not scroll event. Load 20-50 items per batch.,
15,Pagination,Load More Button,Manual button to load next batch of content,Web/Mobile,Show count remaining: 'Load 20 more (80 remaining)',Hide the button when no more content — show 'All loaded',<button onClick={loadMore}>Load 20 more ({remaining} left)</button>,<button>Load more</button> with no count — user doesn't know how much is left,Low,Button is naturally keyboard accessible,Lighter than infinite scroll — user controls when to load,
16,Search,Instant Search,Search-as-you-type with live results dropdown,Web,Debounce input 200-300ms — show results in dropdown below search,Search on every keystroke — hammers server,"const search = debounce((q) => fetch(`/api/search?q=${q}`), 250)","input.oninput = () => fetch(`/search?q=${input.value}`) — fires every character",High,Use combobox pattern: role='combobox' + role='listbox',Debounce + abort previous request with AbortController,
17,Search,Search Results Page,Dedicated page showing filtered/sorted search results,Web,Show result count + active filters + sort options + clear all,Show results with no indication of total count or active filters,"<p>Showing 1-20 of 342 results for 'dashboard'</p> + filter chips","<div>Results:</div> with no count or filters — feels incomplete",Medium,Announce result count on search via aria-live region,Paginate results server-side. Highlight matched terms client-side.,
18,Search,Search Suggestions,Autocomplete dropdown showing popular/recent searches,Web/Mobile,Show max 5-7 suggestions categorized (Recent / Popular / Products),Show 20+ suggestions — choice paralysis,"<ul role='listbox'><li role='option'>Recent: dashboard design</li>","<div class='suggestions'> with no ARIA roles",Medium,role='listbox' on container + role='option' on items + aria-activedescendant,Cache recent searches in localStorage for instant display,
19,Tabs,Horizontal Tabs,Tab bar switching between content panels without page reload,Web,Use role='tablist' + role='tab' + role='tabpanel' + arrow key nav,Create tabs with links that reload page — breaks tab mental model,"<div role='tablist'><button role='tab' aria-selected='true'>Tab 1</button>","<div><a href='#tab1'>Tab 1</a></div> — link-based tabs reload",High,Arrow keys navigate between tabs. Tab key moves to panel.,Only render active tab panel — lazy mount inactive tabs,https://www.w3.org/WAI/ARIA/apg/patterns/tabs/
20,Tabs,Scrollable Tabs,Horizontally scrollable tab bar when too many tabs to fit,Mobile/Web,Show scroll fade/arrow indicators at edges,Wrap tabs to second row — wastes space and looks cluttered,"<div class='flex overflow-x-auto scroll-smooth'> + fade indicators","<div class='flex flex-wrap'> — multi-row tabs confuse",Medium,Ensure all tabs reachable via keyboard arrow keys,Use scroll-snap for clean tab alignment on swipe,
21,Drawer,Bottom Sheet,Mobile drawer sliding up from bottom for actions/details,Mobile,Allow swipe-down to dismiss. Show drag handle indicator.,Cover entire screen — feels like page navigation not a sheet,"<div class='fixed bottom-0 rounded-t-2xl transition-transform'>","<div class='fixed inset-0'> — full screen takeover",High,Focus trap when open. Escape key dismisses. aria-modal='true'.,Transform animation only — avoid animating height.,
22,Drawer,Right Slide Panel,Side panel for details/settings without leaving current context,Web/Desktop,Overlay panel with backdrop click-to-close,Navigate to new page for simple settings — breaks flow,"<aside class='fixed right-0 top-0 h-full w-96 shadow-2xl transform transition'>","<div style='position:absolute;right:-400px'> — left/right animation janky",Medium,Focus trap inside panel. Return focus to trigger on close.,Use transform:translateX for GPU-accelerated slide animation,
23,Anchor,Scroll Spy,Highlight nav item matching current scroll position,Web,Use IntersectionObserver to detect active section,Calculate active section on every scroll event — janky,"sections.forEach(s => observer.observe(s)); // update nav on intersect","window.onscroll: sections.forEach(s => { if(s.offsetTop < scrollY)... }) — expensive",Low,Update aria-current on active nav link as user scrolls,IntersectionObserver is far more performant than scroll + getBoundingClientRect,
24,Anchor,Smooth Scroll to Section,Click anchor link to smoothly scroll to page section,Web,Use CSS scroll-behavior:smooth + scroll-margin-top for sticky header offset,Jump instantly to section — disorienting,"html { scroll-behavior: smooth } section { scroll-margin-top: 80px }","element.scrollIntoView() without smooth — jarring jump",Low,Respect prefers-reduced-motion: use instant scroll if reduced,CSS smooth scroll is zero-JS and works natively,
25,Notification,Toast Notification,Temporary non-blocking message appearing at screen edge,Web/Mobile,Auto-dismiss after 5s with progress bar. Allow manual dismiss X.,Stack 10 toasts at once — covers content,"<div role='status' aria-live='polite' class='fixed bottom-4 right-4'>","<div class='toast'> with no ARIA — screen readers miss it",Medium,Use role='status' + aria-live='polite' for non-urgent toasts,Limit to 3 visible toasts max. Queue the rest.,
26,Notification,Banner Alert,Full-width persistent banner at top of page for important messages,Web,Use for critical system-wide alerts only. Include dismiss button.,Use banners for every notification — banner blindness,"<div role='alert' class='bg-yellow-100 border-l-4 border-yellow-500 p-4'>","<div class='banner'> for minor info — users start ignoring all banners",High,role='alert' for urgent. role='status' for informational.,Persistent banners shift layout — use fixed position to avoid CLS.,
27,Notification,Badge Counter,Number badge on icon showing unread/pending count,Web/Mobile,Show exact count up to 99 then '99+'. Position top-right of icon.,Show badge with 0 count — unnecessary visual noise,"<span class='absolute -top-1 -right-1 bg-red-500 text-white text-xs rounded-full px-1'>3</span>","<span class='badge'>0</span> — badge with zero is confusing",Low,aria-label on parent: 'Notifications (3 unread)',Badges are purely visual — negligible performance cost,
28,Wizard,Step Indicator,Progress bar showing current step in multi-step flow,Web/Mobile,Show step numbers + labels + checkmark for completed steps,Show only current step with no context of total — user anxiety,"<ol aria-label='Progress'><li aria-current='step'>2 of 4: Payment</li></ol>","<div>Step 2</div> — no total count or step names",High,Use aria-current='step' on active. Announce step change.,Minimal cost. Render all step labels upfront for clarity.,
29,Wizard,Multi-Step Form,Break long form into digestible steps with save progress,Web,Save progress per step. Allow back navigation. Validate per step.,Validate all steps only on final submit — user finds errors in step 1 at step 5,"steps[current].validate() && saveDraft() && goToNext()","onSubmit: validateAll() — errors reference fields user can't see",Critical,Announce step transitions. Focus first field of new step.,Save draft to localStorage or server per step to prevent data loss.,
30,A11y Nav,Skip Link,Hidden link to skip navigation and jump to main content,Web,First focusable element. Visible on focus. Links to #main-content.,"Hide skip link permanently — keyboard users can't skip nav","<a href='#main-content' class='sr-only focus:not-sr-only focus:absolute'>Skip to content</a>","No skip link — keyboard user tabs through 50 nav items to reach content",Critical,WCAG 2.4.1 requires skip mechanism. Must be first focusable element.,Zero performance cost. Essential accessibility feature.,https://www.w3.org/WAI/WCAG21/Understanding/bypass-blocks
31,A11y Nav,Focus Management on Route Change,Move focus to main content heading on SPA navigation,SPA/Web,Set focus to <h1> of new page after route change in SPA,SPA route changes with no focus management — screen reader stays on old content,"router.afterEach(() => { document.querySelector('h1').focus() })","// no focus management on route change — SR user lost",High,Announce page title via document.title + focus on h1,Minimal cost. Critical for screen reader SPA navigation.,
32,A11y Nav,Landmark Regions,Semantic HTML5 landmarks for page regions,Web,Use header/nav/main/aside/footer landmarks consistently,Use <div> for everything — no semantic structure,"<header><nav></nav></header><main><article></article></main><footer></footer>","<div class='header'><div class='nav'>...</div></div> — no landmarks",High,Screen readers can jump between landmarks (R key in NVDA),Zero cost. Landmarks are just semantic HTML elements.,https://www.w3.org/WAI/ARIA/apg/practices/landmark-regions/
