No,Product Type,Keywords,Primary (Hex),Secondary (Hex),CTA (Hex),Background (Hex),Text (Hex),Border (Hex),Dark Primary,Dark Secondary,Dark CTA,Dark Background,Dark Text,Dark Border,Gradient,Notes
1,SaaS (General),"saas, general, b2c, platform, subscription, cloud, tool",#2563EB,#3B82F6,#F97316,#F8FAFC,#1E293B,#E2E8F0,#3B82F6,#60A5FA,#F97316,#0F172A,#F1F5F9,#1E293B,linear-gradient(135deg; #2563EB; #3B82F6),"Trust blue primary builds credibility. Orange CTA for high-contrast conversion. WCAG AAA text. Dark mode: preserve blue identity; invert surfaces."
12,Portfolio/Personal,"portfolio, personal, resume, cv, developer, designer",#18181B,#3F3F46,#2563EB,#FAFAFA,#09090B,#E4E4E7,#27272A,#52525B,#3B82F6,#09090B,#FAFAFA,#27272A,linear-gradient(135deg; #18181B; #27272A),"Minimal palette lets work shine. Brand blue accent only. Black+white typography focus. Let projects provide color."
13,Gaming,"gaming, game, esports, stream, twitch, play",#7C3AED,#A78BFA,#F43F5E,#0F0F23,#E2E8F0,#4C1D95,#8B5CF6,#C4B5FD,#FB7185,#0A0A1A,#F1F5F9,#3B1D8A,linear-gradient(135deg; #7C3AED; #A78BFA),"Neon vibes on dark bg. High energy. Rose CTA = action. Avoid muted/corporate tones. Glow effects encouraged."
14,Government/Public Service,"government, public, civic, municipal, official",#0F172A,#334155,#0369A1,#F8FAFC,#020617,#E2E8F0,#1E293B,#475569,#0EA5E9,#020617,#F8FAFC,#1E293B,linear-gradient(135deg; #0F172A; #1E293B),"Navy = authority. High contrast WCAG AAA mandatory. Conservative palette. Blue CTA = official action."
15,Fintech/Crypto,"fintech, crypto, defi, web3, blockchain, trading",#F59E0B,#FBBF24,#8B5CF6,#0F172A,#F8FAFC,#334155,#FBBF24,#FDE68A,#A78BFA,#050510,#F8FAFC,#1E293B,linear-gradient(135deg; #F59E0B; #FBBF24),"Gold = wealth. Purple accent = premium/innovation. Dark bg mandatory for trading. Neon accents for crypto."
16,Social Media App,"social, media, community, feed, engagement, network",#2563EB,#60A5FA,#F43F5E,#F8FAFC,#1E293B,#DBEAFE,#3B82F6,#93C5FD,#FB7185,#0F172A,#F1F5F9,#1E293B,linear-gradient(135deg; #2563EB; #3B82F6),"Vibrant for engagement. Rose CTA = like/share energy. Notification red badge. Activity green dot."
17,Productivity Tool,"productivity, tool, task, todo, planner, organize, workflow",#3B82F6,#60A5FA,#F97316,#FFFFFF,#1E293B,#E2E8F0,#60A5FA,#93C5FD,#FB923C,#0F172A,#F1F5F9,#1E293B,linear-gradient(135deg; #3B82F6; #60A5FA),"Clean functional design. Color minimal. Status colors: blue(active) green(done) yellow(pending) red(overdue)."
18,Design System,design system component library tokens ui-kit,#3B82F6,#60A5FA,#F97316,#FFFFFF,#1E293B,#E2E8F0,#60A5FA,#93C5FD,#FB923C,#0F172A,#F1F5F9,#1E293B,linear-gradient(135deg; #3B82F6; #60A5FA),"Systematic palette. Token-first approach. Include all semantic colors. Document contrast ratios."
19,AI/Chatbot Platform,"ai, chatbot, assistant, copilot, llm, gpt, claude, conversation",#6366F1,#A5B4FC,#06B6D4,#EEF2FF,#1E1B4B,#C7D2FE,#818CF8,#C7D2FE,#22D3EE,#0A0918,#E0E7FF,#312E81,linear-gradient(135deg; #6366F1; #A5B4FC),"Indigo = intelligence. Cyan CTA = ask/generate. Thinking indicator: pulsing dots. Response: fade-in animation."
20,NFT/Web3,"nft, web3, metaverse, digital-collectible, dao, decentralized",#8B5CF6,#A78BFA,#FFD700,#0F0F23,#F8FAFC,#3B1D8A,#A78BFA,#C4B5FD,#FFD700,#0A0A14,#F8FAFC,#4C1D95,linear-gradient(135deg; #8B5CF6; #EC4899),"Dark + neon = web3 aesthetic. Gold = value. Purple = rarity. Gradient backgrounds encouraged."
21,Creator Economy,"creator, economy, influencer, monetize, content, patreon",#EC4899,#F472B6,#F97316,#FDF2F8,#831843,#FBCFE8,#F472B6,#F9A8D4,#FB923C,#1C0A14,#FDF2F8,#4C1D3A,linear-gradient(135deg; #EC4899; #F97316),"Vibrant pink = creative energy. Orange CTA = subscribe/support. Brand personality colors."
22,Sustainability/ESG,"sustainability, esg, green, eco, carbon, climate",#15803D,#22C55E,#CA8A04,#F0FDF4,#14532D,#BBF7D0,#22C55E,#4ADE80,#EAB308,#052E16,#ECFDF5,#14532D,linear-gradient(135deg; #15803D; #22C55E),"Green = earth/sustainability. Gold CTA = invest/commit. Earth tones for warmth. Avoid greenwashing look."
23,Remote Work/Collaboration,"remote, collaboration, video, meeting, slack, teams",#3B82F6,#60A5FA,#F97316,#FFFFFF,#1E293B,#E2E8F0,#60A5FA,#93C5FD,#FB923C,#0F172A,#F1F5F9,#1E293B,linear-gradient(135deg; #3B82F6; #60A5FA),"Calm blue for focus. Neutral bg for long sessions. Status indicators: green/yellow/red. Avatar color rings."
24,Mental Health App,"mental-health, therapy, meditation, calm, mindfulness, wellbeing",#7C9AB5,#A3BFDB,#059669,#F7F9FB,#2C3E50,#D6E4F0,#8FADC4,#B8D0E4,#10B981,#162534,#E8F0F7,#2C3E50,linear-gradient(135deg; #7C9AB5; #A3BFDB),"Muted blue-grey = calm/safety. Green CTA = positive action. NO red. NO harsh contrasts. Soft transitions only."
25,Pet Tech App,"pet, animal, veterinary, dog, cat, adoption",#F97316,#FB923C,#059669,#FFFBEB,#78350F,#FED7AA,#FB923C,#FDBA74,#10B981,#1C0F00,#FFF7ED,#7C2D12,linear-gradient(135deg; #F97316; #FB923C),"Warm orange = playful/friendly. Green CTA = adopt/book. Rounded shapes preferred. Fun iconography."
26,Smart Home/IoT,"smart-home, iot, automation, connected, device, hub",#3B82F6,#60A5FA,#10B981,#0F172A,#F1F5F9,#1E293B,#60A5FA,#93C5FD,#34D399,#050A15,#F1F5F9,#1E293B,linear-gradient(135deg; #0F172A; #1E293B),"Dark dashboard aesthetic. Blue = connected. Green = active/online. Red = offline/alert. Status-first design."
27,EV/Charging,"ev, electric-vehicle, charging, battery, green-energy, tesla",#0EA5E9,#38BDF8,#10B981,#F0F9FF,#0C4A6E,#BAE6FD,#38BDF8,#7DD3FC,#34D399,#082F49,#E0F2FE,#0C4A6E,linear-gradient(135deg; #0EA5E9; #10B981),"Electric blue = energy. Green = charged/eco. Battery gradient: red→yellow→green. Clean futuristic look."
28,Subscription Box,"subscription, box, unboxing, monthly, curated, discovery",#EC4899,#F472B6,#F97316,#FDF2F8,#831843,#FBCFE8,#F472B6,#F9A8D4,#FB923C,#1C0A14,#FDF2F8,#4C1D3A,linear-gradient(135deg; #EC4899; #F97316),"Excitement colors = anticipation. Orange CTA = subscribe. Playful gradients. Unboxing energy."
29,Podcast Platform,"podcast, audio, episode, show, listen, stream",#1E293B,#334155,#EF4444,#F8FAFC,#0F172A,#E2E8F0,#334155,#475569,#F87171,#0F172A,#F8FAFC,#1E293B,linear-gradient(135deg; #1E293B; #334155),"Dark immersive bg for listening. Red CTA = play/subscribe. Audio waveform accents. Minimal distractions."
30,Dating App,"dating, romance, match, love, relationship, connection",#EC4899,#F472B6,#EF4444,#FFF1F2,#881337,#FECDD3,#F472B6,#F9A8D4,#FB7185,#1C0A14,#FFF1F2,#4C1D3A,linear-gradient(135deg; #EC4899; #EF4444),"Pink→red gradient = romance. Heart red CTA = match/like. Warm soft backgrounds. Round shapes = approachability."
31,Badges/Credentials,"badges, credentials, certification, micro-credential, achievement",#1E3A8A,#3B82F6,#CA8A04,#F8FAFC,#0F172A,#DBEAFE,#3B82F6,#60A5FA,#EAB308,#0C1222,#F1F5F9,#1E3A8A,linear-gradient(135deg; #1E3A8A; #3B82F6),"Trust navy = institutional. Gold CTA/badge = achievement. Silver/bronze tiers. Certificate cream backgrounds."
32,Knowledge Base/Docs,"knowledge-base, documentation, wiki, help-center, faq",#3B82F6,#60A5FA,#F97316,#FFFFFF,#1E293B,#E2E8F0,#60A5FA,#93C5FD,#FB923C,#0F172A,#F1F5F9,#1E293B,linear-gradient(135deg; #3B82F6; #60A5FA),"Clean readable hierarchy. Minimal color. Code blocks with syntax highlighting. Search-prominent layout."
33,Hyperlocal Services,"hyperlocal, local, delivery, neighborhood, nearby, on-demand",#10B981,#34D399,#F97316,#ECFDF5,#064E3B,#A7F3D0,#34D399,#6EE7B7,#FB923C,#022C22,#ECFDF5,#064E3B,linear-gradient(135deg; #10B981; #34D399),"Green = location/go. Orange CTA = order/book. Map markers prominent. Distance/time indicators colored."
34,Beauty/Spa/Wellness,"beauty, spa, wellness, skincare, salon, self-care",#EC4899,#F9A8D4,#8B5CF6,#FDF2F8,#831843,#FCE7F3,#F472B6,#FBCFE8,#A78BFA,#1C0A14,#FDF2F8,#4C1D3A,linear-gradient(135deg; #EC4899; #F9A8D4),"Soft pink = feminine care. Sage green alternative for unisex. Violet CTA = book/buy. Cream/gold accents = premium."
35,Luxury/Premium,"luxury, premium, high-end, exclusive, designer, bespoke",#1C1917,#44403C,#CA8A04,#FAFAF9,#0C0A09,#D6D3D1,#D4AF37,#8B7355,#FFD700,#0A0908,#FAF5EB,#2A2520,linear-gradient(135deg; #1C1917; #0C0A09),"Black + gold. Maximum whitespace. Typography-driven. Minimal UI chrome. Product hero imagery. No clutter."
36,Restaurant/Food,"restaurant, food, menu, dining, catering, delivery",#DC2626,#F87171,#CA8A04,#FEF2F2,#450A0A,#FECACA,#EF4444,#FCA5A5,#EAB308,#1C0808,#FEF2F2,#7F1D1D,linear-gradient(135deg; #DC2626; #F97316),"Warm red/orange = appetite stimulation. Gold CTA = order/reserve. Avoid blue/purple (appetite suppression)."
37,Fitness/Gym,"fitness, gym, workout, exercise, training, sport, crossfit",#DC2626,#F87171,#16A34A,#18181B,#F8FAFC,#2A2A2A,#EF4444,#FCA5A5,#22C55E,#0A0A0A,#F8FAFC,#262626,linear-gradient(135deg; #DC2626; #F97316),"Energetic red/orange on dark bg. Green CTA = start/join. Electric blue (#3B82F6) alt accent. Bold typography."
38,Real Estate,"real-estate, property, house, apartment, rental, mortgage, realty",#0F766E,#14B8A6,#0369A1,#F0FDFA,#134E4A,#99F6E4,#14B8A6,#2DD4BF,#0EA5E9,#042F2E,#F0FDFA,#134E4A,linear-gradient(135deg; #0F766E; #14B8A6),"Teal = trust + growth. Blue CTA = contact/view. Gold accent for premium listings. Map-green for location."
39,Travel/Tourism,"travel, tourism, vacation, booking, flight, hotel, destination",#0EA5E9,#38BDF8,#F97316,#F0F9FF,#0C4A6E,#BAE6FD,#38BDF8,#7DD3FC,#FB923C,#082F49,#E0F2FE,#0C4A6E,linear-gradient(135deg; #0EA5E9; #38BDF8),"Sky blue = adventure. Orange CTA = book now. Destination imagery provides color. Warm sunset accents."
40,Hotel/Hospitality,"hotel, hospitality, resort, lodge, villa, accommodation",#1E3A8A,#3B82F6,#CA8A04,#F8FAFC,#1E40AF,#BFDBFE,#3B82F6,#60A5FA,#EAB308,#0C1222,#F8FAFC,#1E3A8A,linear-gradient(135deg; #1E3A8A; #3B82F6),"Navy = prestige. Gold CTA = book/reserve. Warm neutrals for room imagery. Cream backgrounds."
41,Wedding/Events,"wedding, event, planning, celebration, party, gala",#A78BFA,#C4B5FD,#EC4899,#FAF5FF,#4C1D95,#DDD6FE,#C4B5FD,#DDD6FE,#F472B6,#1E0D30,#FAF5FF,#4C1D95,linear-gradient(135deg; #A78BFA; #EC4899),"Soft lavender + pink = romance. Gold accent = elegance. Rose CTA = RSVP/book. Sage green for outdoor themes."
42,Legal Services,"legal, lawyer, law-firm, attorney, court, justice",#1E3A8A,#1E40AF,#B45309,#F8FAFC,#0F172A,#CBD5E1,#2563EB,#3B82F6,#D97706,#0C1222,#F1F5F9,#1E293B,linear-gradient(135deg; #1E3A8A; #1E40AF),"Navy = authority/tradition. Gold CTA = consult. Conservative palette mandatory. Serif typography preferred."
43,Insurance,"insurance, policy, coverage, claim, protection, assurance",#3B82F6,#60A5FA,#059669,#F8FAFC,#1E293B,#E2E8F0,#60A5FA,#93C5FD,#10B981,#0F172A,#F1F5F9,#1E293B,linear-gradient(135deg; #3B82F6; #60A5FA),"Trust blue = security. Green CTA = protect/get-quote. Shield icons. Calm reassuring palette."
44,Banking,"banking, bank, finance, traditional, savings, checking",#0F766E,#14B8A6,#0369A1,#F0FDFA,#134E4A,#99F6E4,#14B8A6,#2DD4BF,#0EA5E9,#042F2E,#F0FDFA,#134E4A,linear-gradient(135deg; #0F172A; #1E3A8A),"Navy = institutional trust. Gold accent = prosperity. Green = financial health. Conservative required."
45,E-learning,"elearning, online-course, mooc, tutorial, skillshare, udemy",#0D9488,#2DD4BF,#EA580C,#F0FDFA,#134E4A,#5EEAD4,#14B8A6,#5EEAD4,#F97316,#042F2E,#F0FDFA,#134E4A,linear-gradient(135deg; #0D9488; #2DD4BF),"Teal = knowledge/growth. Orange CTA = enroll/start. Progress green. Achievement gold. Category color-coding."
46,Non-profit/Charity,"nonprofit, charity, cause, donation, ngo, fundraise",#0891B2,#22D3EE,#F97316,#ECFEFF,#164E63,#A5F3FC,#06B6D4,#67E8F9,#FB923C,#0C1B2D,#ECFEFF,#164E63,linear-gradient(135deg; #0891B2; #22D3EE),"Warm cyan = care. Orange CTA = donate/volunteer. Cause-specific secondary colors. Impact green for metrics."
47,Music Streaming,"music, streaming, spotify, playlist, album, audio",#1DB954,#1ED760,#FFFFFF,#121212,#FFFFFF,#282828,#1DB954,#1ED760,#FFFFFF,#0A0A0A,#FFFFFF,#1A1A1A,linear-gradient(135deg; #121212; #1A1A1A),"Dark bg = immersive. Green play accent. Album art provides color. Minimal UI. Vibrant on hover."
48,Video Streaming,"video, streaming, ott, netflix, content, show, movie",#E50914,#B81D24,#FFFFFF,#141414,#FFFFFF,#333333,#E50914,#FF3B3F,#FFFFFF,#0A0A0A,#FFFFFF,#1A1A1A,linear-gradient(135deg; #141414; #1A1A1A),"Dark bg = cinema. Content posters provide color. Red accent = brand. Autoplay previews. Minimal chrome."
49,Job Board/Recruitment,"job, recruitment, career, hiring, talent, hr",#0F172A,#334155,#0369A1,#F8FAFC,#020617,#E2E8F0,#1E293B,#475569,#0EA5E9,#020617,#F8FAFC,#1E293B,linear-gradient(135deg; #0F172A; #1E293B),"Professional navy. Blue CTA = apply/post. Success green = hired. Status: blue/yellow/green/red pipeline."
50,Marketplace P2P,"marketplace, p2p, peer, buy-sell, auction, classifieds",#3B82F6,#60A5FA,#F97316,#FFFFFF,#1E293B,#E2E8F0,#60A5FA,#93C5FD,#FB923C,#0F172A,#F1F5F9,#1E293B,linear-gradient(135deg; #3B82F6; #10B981),"Trust blue. Orange CTA = buy/bid. Category colors for browsing. Seller green verification badge."
51,Logistics/Delivery,"logistics, delivery, shipping, tracking, fleet, supply-chain",#2563EB,#3B82F6,#F97316,#F8FAFC,#1E293B,#E2E8F0,#3B82F6,#60A5FA,#FB923C,#0F172A,#F1F5F9,#1E293B,linear-gradient(135deg; #2563EB; #F97316),"Blue = transit. Orange = tracking/in-progress. Green = delivered. Red = delayed. Status-bar color-coded."
52,Agriculture/Farm,"agriculture, farm, agritech, crop, harvest, soil",#15803D,#22C55E,#92400E,#F0FDF4,#14532D,#BBF7D0,#22C55E,#4ADE80,#D97706,#052E16,#ECFDF5,#14532D,linear-gradient(135deg; #15803D; #22C55E),"Earth green = growth. Brown CTA = harvest/action. Sky blue for weather. Soil tones for backgrounds."
53,Construction,"construction, architecture, building, contractor, blueprint, civil",#475569,#64748B,#F97316,#F8FAFC,#1E293B,#E2E8F0,#64748B,#94A3B8,#FB923C,#1E293B,#F8FAFC,#334155,linear-gradient(135deg; #475569; #64748B),"Steel grey = industrial. Safety orange CTA. Blueprint blue (#2563EB) for plans. Hard hat yellow accent."
54,Automotive,"automotive, car, vehicle, dealership, auto, motor",#1E293B,#334155,#DC2626,#F8FAFC,#0F172A,#E2E8F0,#334155,#475569,#EF4444,#0A0F18,#F8FAFC,#1E293B,linear-gradient(135deg; #1E293B; #334155),"Metallic dark palette. Red CTA = test-drive/contact. Silver/chrome accents. Brand color adaptation."
55,Photography,"photography, studio, photo, visual, gallery, portfolio",#18181B,#27272A,#FFFFFF,#FFFFFF,#18181B,#E4E4E7,#27272A,#3F3F46,#FFFFFF,#09090B,#FAFAFA,#27272A,linear-gradient(135deg; #18181B; #09090B),"Pure B&W lets photos speak. Minimal accent. Clean gallery grid. White space = sophistication."
56,Coworking,"coworking, space, shared-office, flex-space, community-workspace",#F97316,#FB923C,#2563EB,#FFFFFF,#1E293B,#E2E8F0,#FB923C,#FDBA74,#3B82F6,#1C0F00,#FFF7ED,#7C2D12,linear-gradient(135deg; #F97316; #FB923C),"Energetic orange = collaboration. Blue CTA = book/tour. Wood tones for warmth. Community-focused palette."
57,Cleaning Service,"cleaning, service, maid, janitorial, sanitize, fresh",#0EA5E9,#38BDF8,#10B981,#F0F9FF,#0C4A6E,#BAE6FD,#38BDF8,#7DD3FC,#34D399,#082F49,#E0F2FE,#0C4A6E,linear-gradient(135deg; #0EA5E9; #10B981),"Fresh blue = clean. Green CTA = book now. White space = purity. Sparkling accents. Light airy feel."
58,Home Services,"home-services, plumber, electrician, handyman, repair, maintenance",#0F172A,#334155,#F97316,#F8FAFC,#020617,#E2E8F0,#1E293B,#475569,#FB923C,#020617,#F8FAFC,#1E293B,linear-gradient(135deg; #0F172A; #334155),"Trust navy = reliability. Safety orange CTA = book/call. Tool-themed accents. Professional and clean."
59,Childcare/Daycare,"childcare, daycare, kids, nursery, preschool, toddler",#F472B6,#FBCFE8,#F97316,#FFF1F2,#831843,#FCE7F3,#F9A8D4,#FBCFE8,#FB923C,#2D0A1B,#FFF1F2,#831843,linear-gradient(135deg; #F472B6; #FBCFE8),"Soft pastels = safe/warm. Orange CTA = enroll. Playful rounded shapes. Primary colors for activities."
60,Senior Care,"senior-care, elderly, aging, assisted-living, retirement",#3B82F6,#60A5FA,#059669,#F8FAFC,#1E293B,#E2E8F0,#60A5FA,#93C5FD,#10B981,#0F172A,#F8FAFC,#1E293B,linear-gradient(135deg; #3B82F6; #60A5FA),"Calm blue + warm neutrals. Green CTA = care/contact. LARGE text 18px min. High contrast WCAG AAA. No tiny UI."
61,Medical Clinic,"medical-clinic, doctor, hospital, primary-care, urgent-care",#0077B6,#0096C7,#059669,#F0F9FF,#023E5E,#BAE6FD,#0096C7,#48CAE4,#10B981,#012A3E,#E0F2FE,#023E5E,linear-gradient(135deg; #0077B6; #0096C7),"Medical blue = trust/clinical. Green CTA = book appointment. Clean white layouts. Avoid anxiety-inducing red."
62,Pharmacy,"pharmacy, drugstore, prescription, medicine, rx",#15803D,#22C55E,#0369A1,#F0FDF4,#14532D,#BBF7D0,#22C55E,#4ADE80,#0EA5E9,#052E16,#ECFDF5,#14532D,linear-gradient(135deg; #15803D; #22C55E),"Pharmacy green = health. Blue CTA = order/refill. Clean clinical white. Cross icon green."
63,Dental Practice,"dental, dentist, orthodontics, smile, oral-health",#0EA5E9,#38BDF8,#059669,#F0F9FF,#0C4A6E,#BAE6FD,#38BDF8,#7DD3FC,#10B981,#082F49,#E0F2FE,#0C4A6E,linear-gradient(135deg; #0EA5E9; #38BDF8),"Fresh blue = clean/clinical. Green CTA = book. White = bright smiles. Yellow accent for smile/friendly."
64,Veterinary,"veterinary, vet, animal-hospital, pet-care, animal-health",#3B82F6,#60A5FA,#10B981,#EFF6FF,#1E3A8A,#DBEAFE,#60A5FA,#93C5FD,#34D399,#0C1A3A,#EFF6FF,#1E3A8A,linear-gradient(135deg; #3B82F6; #10B981),"Trust blue + care green. Green CTA = book visit. Pet paw accent icons. Warm friendly tone."
65,Florist/Plants,"florist, plant, garden, nursery, botanical, green-thumb",#15803D,#22C55E,#EC4899,#F0FDF4,#14532D,#BBF7D0,#22C55E,#4ADE80,#F472B6,#052E16,#ECFDF5,#14532D,linear-gradient(135deg; #15803D; #EC4899),"Natural green. Pink CTA = order/gift. Floral pinks and earth tones. Botanical imagery driven."
66,Bakery/Cafe,"bakery, cafe, pastry, dessert, coffee-shop, confectionery",#92400E,#B45309,#DC2626,#FFFBEB,#78350F,#FDE68A,#B45309,#D97706,#EF4444,#2A1605,#FFF7ED,#78350F,linear-gradient(135deg; #92400E; #B45309),"Warm brown = baked goods. Red CTA = order. Cream/butter backgrounds. Appetizing warm tones."
67,Coffee Shop,"coffee, espresso, cafe, roast, barista, brew",#6F4E37,#8B6F47,#D97706,#FAF5EB,#3E2C20,#E5D5C5,#8B6F47,#A68B67,#EAB308,#1E150E,#FAF5EB,#4A3728,linear-gradient(135deg; #6F4E37; #8B6F47),"Coffee brown = authentic. Amber CTA = order/try. Cream backgrounds. Bean texture patterns. Warm cozy feel."
68,Brewery/Winery,"brewery, winery, beer, wine, craft, spirits, distillery",#7F1D1D,#991B1B,#CA8A04,#FEF2F2,#450A0A,#FECACA,#991B1B,#B91C1C,#EAB308,#2A0808,#FEF2F2,#7F1D1D,linear-gradient(135deg; #7F1D1D; #44403C),"Deep burgundy/amber = craft. Gold CTA = taste/reserve. Barrel wood tones. Vintage label aesthetic."
69,Airline,"airline, aviation, flight, airport, travel, sky, carrier",#1E3A8A,#2563EB,#06B6D4,#F0F9FF,#1E40AF,#BFDBFE,#2563EB,#3B82F6,#22D3EE,#0C1222,#F0F9FF,#1E3A8A,linear-gradient(135deg; #1E3A8A; #0EA5E9),"Sky blue gradient = flight. Cyan CTA = book/check-in. Cloud white backgrounds. Trust navy for nav."
70,News/Media,"news, media, journalism, press, publication, breaking",#18181B,#27272A,#DC2626,#FFFFFF,#18181B,#E4E4E7,#27272A,#3F3F46,#EF4444,#09090B,#FAFAFA,#27272A,linear-gradient(135deg; #18181B; #27272A),"Bold black = authority. Red = breaking/urgent. Category colors for sections. High-contrast text."
71,Magazine/Blog,"magazine, blog, editorial, publication, content, journal",#18181B,#3F3F46,#2563EB,#FFFFFF,#18181B,#E4E4E7,#27272A,#52525B,#3B82F6,#09090B,#FAFAFA,#27272A,linear-gradient(135deg; #18181B; #3F3F46),"Editorial monochrome. Blue CTA = subscribe/read. Typography-driven. Content provides color."
72,Freelancer Platform,"freelancer, gig, upwork, fiverr, independent, contract",#0F172A,#334155,#10B981,#F8FAFC,#020617,#E2E8F0,#1E293B,#475569,#34D399,#020617,#F8FAFC,#1E293B,linear-gradient(135deg; #0F172A; #1E293B),"Professional navy. Green CTA = hire/apply. Success indicators. Skill badge colors."
73,Consulting Firm,"consulting, advisory, management, strategy, professional-services",#0F172A,#1E293B,#CA8A04,#F8FAFC,#020617,#CBD5E1,#1E293B,#334155,#EAB308,#020617,#F8FAFC,#0F172A,linear-gradient(135deg; #0F172A; #1E293B),"Navy + gold = prestige/authority. Conservative. Serif typography. Minimal color distractions."
74,Marketing Agency,"marketing, agency, creative, branding, advertising, campaign",#EC4899,#F472B6,#06B6D4,#FDF2F8,#831843,#FBCFE8,#F472B6,#F9A8D4,#22D3EE,#1C0A14,#FDF2F8,#4C1D3A,linear-gradient(135deg; #EC4899; #06B6D4),"Bold creative colors. Cyan CTA = contact/start. Show creative capability through palette diversity."
75,Event Management,"event, management, conference, concert, festival, ticketing",#7C3AED,#A78BFA,#F97316,#FAF5FF,#4C1D95,#DDD6FE,#A78BFA,#C4B5FD,#FB923C,#1E0D30,#FAF5FF,#4C1D95,linear-gradient(135deg; #7C3AED; #A78BFA),"Event purple = excitement. Orange CTA = register/buy-tickets. Event theme overrides base palette."
