No,Category,Pattern_Name,Description,Platform,Do,Don't,Code_Good,Code_Bad,Severity,A11y_Note,Performance_Note,Docs_URL
14,Input,Floating Action Button,Primary action button floating above content (Material Design),Mobile,One FAB per screen for the primary action. Bottom-right position.,Multiple FABs — user confused which is primary,"<button class='fixed bottom-20 right-4 w-14 h-14 rounded-full bg-blue-600 shadow-lg' aria-label='Create new'>+</button>","3 FABs on screen + overlapping content — cluttered",Medium,aria-label required (icon-only button). 44px+ minimum size.,Fixed positioning with will-change:transform for smooth scroll.,
15,Feedback,Haptic Feedback,Vibration/taptic feedback on interactions,Mobile,Use light haptic on toggle/switch. Medium on destructive action. Heavy on error.,"Haptic on every tap — battery drain and user annoyance","navigator.vibrate(10) // light; navigator.vibrate([50,50,50]) // error pattern","navigator.vibrate(1000) on button tap — annoying vibration",Low,Haptic is supplementary — never sole feedback mechanism.,Minimal battery impact with short vibrations (<50ms).,
16,Feedback,Skeleton Loading,Placeholder shimmer while content loads,Mobile,Match skeleton to actual content layout. Animate with shimmer effect.,Show blank screen or spinner only — no layout hint,"<div class='animate-pulse'><div class='h-4 bg-gray-200 rounded w-3/4'></div></div>","<div class='flex justify-center'><Spinner/></div> — no layout structure hint",Medium,aria-busy='true' on container. aria-live announces when loaded.,CSS animation is GPU-accelerated. Lightweight shimmer effect.,
17,Feedback,Toast Messages,Brief non-blocking feedback message,Mobile,Position at bottom above tab bar. Auto-dismiss 3-5s. Swipe to dismiss.,Toast behind tab bar — user can't see it,"<div class='fixed bottom-20 left-4 right-4 bg-gray-900 text-white rounded-lg p-3' role='status'>","<div class='fixed bottom-0'> — hidden behind bottom navigation bar",Medium,role='status' + aria-live='polite'. Auto-dismiss after reading time.,Limit to 1 visible toast. Queue additional messages.,
18,Performance,Image Optimization,Serve appropriately sized images for mobile devices,Mobile,Use srcset with mobile/tablet/desktop sizes. WebP format. Lazy load below fold.,"Serve 4000px desktop image on 375px phone — wastes 10x bandwidth","<img srcset='hero-375.webp 375w, hero-768.webp 768w, hero-1440.webp 1440w' sizes='100vw' loading='lazy'/>","<img src='hero-4000px.jpg'/> — 5MB image on mobile network",Critical,Alt text required. Lazy loading is a11y compatible.,Proper sizing reduces image payload 60-80% on mobile.,
19,Performance,Reduced Motion Support,Respect prefers-reduced-motion OS setting,Mobile,Disable/reduce animations when user prefers reduced motion.,Force animations on everyone — motion-sensitive users get nauseous,"@media (prefers-reduced-motion: reduce) { * { animation-duration: 0.01ms !important; transition-duration: 0.01ms !important; } }","Parallax + auto-playing animations with no reduced-motion respect",Critical,Required by WCAG 2.3.3. Prevents motion-triggered vestibular disorders.,Reduced motion users get faster UI — less GPU animation work.,https://www.w3.org/WAI/WCAG21/Understanding/animation-from-interactions
20,Performance,Offline State,Handle network disconnection gracefully on mobile,Mobile,Show offline banner. Cache critical pages. Queue actions for sync.,Crash or show blank screen on network loss,"<div role='alert' class='bg-yellow-100'>You're offline. Changes saved locally.</div> + ServiceWorker cache","navigator.onLine check on load only — no real-time detection; app breaks mid-use",High,Announce offline state via role='alert'. Explain what still works.,Service Worker caching enables offline access. Cache-first for static assets.,
21,Gesture,Pinch to Zoom,Allow zooming on images/maps/content,Mobile,Enable native pinch zoom on images. Provide zoom controls as alternative.,Disable viewport zoom — WCAG violation,"<meta name='viewport' content='width=device-width, initial-scale=1' /> /* no maximum-scale */","<meta name='viewport' content='maximum-scale=1, user-scalable=no'/> — blocks zoom",Critical,Never disable zoom. WCAG 1.4.4 requires 200% zoom support.,Native zoom is browser-handled — zero JS performance cost.,
22,Gesture,Double Tap to Zoom,Zoom into specific content area on double tap,Mobile,Allow double-tap zoom on images. Prevent on buttons to avoid click delay.,"300ms click delay from double-tap detection on all elements","<img class='touch-manipulation'/> on non-zoomable; native zoom on images","<button style='touch-action:auto'/> — 300ms delay on every button tap",Medium,touch-action:manipulation removes double-tap delay for interactive elements.,touch-action:manipulation is CSS — zero runtime cost.,
23,Pattern,Thumb Zone Design,Place primary actions in thumb-reachable zone (bottom 1/3 of screen),Mobile,Primary CTAs at bottom. Navigation at bottom. Secondary actions at top.,Critical actions at top of screen — requires hand repositioning,"<div class='flex flex-col justify-end h-full'><button class='mb-4'>Primary Action</button></div>","<button class='absolute top-4 right-4'>Save</button> — unreachable one-handed",Medium,Bottom placement benefits one-handed and limited-reach users.,No performance concern — layout consideration only.,
24,Pattern,App-Like Transitions,Page transitions that feel native (slide/fade),Mobile/SPA,Slide-in for forward navigation. Slide-out for back. Fade for tabs.,Instant page swaps with no transition — feels jarring,"router.transition = 'slide-left'; // forward; 'slide-right' // back","No transition — page flashes white between routes",Low,Respect prefers-reduced-motion. Skip animation if set.,CSS transitions only — no JS animation library needed. <16ms frames.,
25,Pattern,Persistent Player/Bar,Audio/video player or action bar that persists across screens,Mobile,Mini player at bottom above tab bar. Expand on tap. Persist across navigation.,Player disappears on navigate — user loses audio/video context,"<div class='fixed bottom-16 left-0 right-0 bg-white shadow-up'>Mini player</div>","Player component re-mounts on each page — audio restarts",Medium,Persistent player announced once. State changes via aria-live.,Keep player in layout root — don't unmount on route change.,
