No,Category,Pattern_Name,Description,Flow_Type,Do,Don't,Code_Good,Code_Bad,Severity,A11y_Note,Conversion_Note,Docs_URL
11,Payment,Payment Method Selector,Choose between card + PayPal + Apple Pay + Google Pay + BNPL,Payment,Show digital wallets first (Apple Pay/Google Pay) — fewest steps. Then card.,Card-only payment — miss 30% who prefer digital wallets,"<div class='grid gap-2'><button class='apple-pay-button'/><button class='google-pay-button'/><div>or pay with card</div><div id='card-element'/></div>","<form>Card number: <input/></form> — no alternative payment methods",High,Each payment button needs descriptive aria-label.,Apple Pay/Google Pay convert 2x higher than manual card entry.,
12,Payment,Saved Payment Methods,Returning user selects from saved cards/methods,Payment,Show last 4 digits + card brand icon + expiry. 'Add new' option.,Show full card numbers — security risk,"<label><input type='radio' name='payment'/> Visa ····4242 (exp 03/27)</label>","<label><input type='radio'/> 4242424242424242</label> — full number exposed",Critical,Radio group with descriptive labels. Card brand icons need alt text.,Saved methods increase repeat purchase rate by 20%.,
13,Trust,Security Badges,Trust indicators near payment form (SSL lock + badges),Trust,Show lock icon + 'Secured by [provider]' near card input,No trust signals near payment form — user hesitates,"<div class='flex items-center gap-2 text-sm text-gray-500'>🔒 Secured by Stripe · 256-bit SSL</div>","Payment form with no security indicators — user second-guesses entering card",High,Security text readable by screen readers. Icons have alt text.,Security badges near payment increase completion by 17%.,
14,Trust,Money Back Guarantee,Guarantee badge to reduce purchase anxiety,Trust,Show guarantee prominently near checkout CTA: '30-day money-back guarantee',Bury guarantee in footer or T&C — user never sees it,"<p class='text-green-600 font-medium'>✓ 30-day money-back guarantee · Free returns</p>","<a href='/returns'>Return policy</a> in footer — not visible at decision point",Medium,Text is accessible. No a11y concern.,Visible guarantees increase conversion 12-15%.,
15,Confirmation,Order Success Page,Post-purchase confirmation with order details and next steps,Confirmation,Show order number + items + total + delivery estimate + email confirmation notice.,Redirect to homepage after purchase — user panics; no confirmation,"<div><h1>✅ Order confirmed!</h1><p>Order #{id}</p><p>Confirmation sent to {email}</p><p>Estimated delivery: {date}</p></div>","<p>Thank you for your order.</p> — no order number; no details; no email mention",Critical,Heading hierarchy. Order details in accessible format.,Confirmation page is prime real-estate for account creation prompt.,
16,Confirmation,Email Receipt,Transactional email with order summary,Confirmation,Send immediately. Include order # + items + total + tracking link + support contact.,Delayed email or no email — user contacts support thinking order failed,"HTML email: Order #{id} | Items: {list} | Total: ${total} | Track: {link}","Plain text: 'Your order is confirmed.' — no details",High,Email must be accessible HTML with proper heading structure.,Email receipt reduces 'Where is my order?' support tickets by 40%.,
17,Cart Recovery,Exit Intent Popup,Overlay when user moves cursor to close/leave with items in cart,Recovery,Show 10% discount or free shipping offer. One popup max per session.,Show popup on every page — aggressive and annoying,"if(cartItems.length > 0 && exitIntent) show(<div>Wait! Get 10% off: <input placeholder='Email'/></div>)","Exit popup on every page regardless of cart — user never returns",Medium,Dialog is aria-modal. Escape closes. Focus trapped inside.,Exit intent recovers 5-10% of abandoning users. One popup only.,
18,Cart Recovery,Abandoned Cart Email,Email sent 1-24hr after cart abandonment with items + CTA,Recovery,Send 3-email sequence: 1hr + 24hr + 72hr. Include cart items + images + CTA.,Send 10 abandonment emails — user marks as spam,"Email: 'You left something behind' + item images + <a href='/cart?restore={token}'>Complete order</a>","Generic 'Come back!' email with no cart contents — user ignores",Medium,Accessible HTML email. CTA button with clear text.,Abandoned cart emails recover 5-15% of abandoned revenue.,
19,UX,Order Tracking,Post-purchase order status tracking page,Post-Purchase,Show visual timeline: Confirmed → Processing → Shipped → Delivered with dates.,Status text only with no visual progress — hard to scan,"<ol class='flex'><li class='text-green-600'>✓ Confirmed</li><li class='text-green-600'>✓ Shipped</li><li class='text-gray-400'>Delivered (est. Mar 20)</li></ol>","<p>Status: Shipped</p> — no timeline; no estimated delivery",Medium,Ordered list for timeline. Current step with aria-current='step'.,Proactive tracking reduces 'Where is my order?' support by 50%.,
20,UX,Price Formatting,Consistent currency display across all UI,All,Show currency symbol + decimal always: $29.00 not $29. Use locale formatting.,Inconsistent formatting — $29 in cart but $29.00 at checkout,"new Intl.NumberFormat('en-US', {style:'currency', currency:'USD'}).format(amount)","'$' + amount — no locale; no decimal consistency",Medium,Currency announced by screen readers when properly formatted.,Consistent pricing builds trust. Rounding triggers suspicion.,
