No,Category,Issue,Keywords,Platform,Description,Do,Don't,Code Example Good,Code Example Bad,Severity
38,Skeleton Loading,Skeleton Accessibility,skeleton aria-busy label,Web,Skeleton loading states need proper ARIA attributes,Use aria-busy='true' and aria-label on skeleton containers,Skeleton with no accessibility info,"<div aria-busy='true' aria-label='Loading content'><Skeleton /></div>","<Skeleton /> // no aria",Medium
39,Toast Notification,Toast Duration,toast auto-dismiss timer,Web,Toast notifications need appropriate auto-dismiss timing by severity,Info: 3-5s auto-dismiss; Error: manual dismiss; Success: 3s,Same duration for all types or no auto-dismiss,"toast({ message: 'Saved', duration: 3000 })","toast('Saved') // no dismiss or 30s",Medium
40,Toast Notification,Toast Stacking,toast stack limit queue,Web,Limit visible toasts and queue excess ones,Max 3-5 visible toasts with queue; newest on top or bottom consistent,Unlimited stacking that covers UI,"<Toaster limit={3} position='top-right' />","// unlimited toasts covering page",Medium
41,Toast Notification,Toast Action Button,toast undo action cta,Web,Destructive action toasts should include undo/action button,Include undo CTA on delete/destructive toasts with countdown,Delete confirmation with no undo,"toast({ message: 'Deleted', action: { label: 'Undo', onClick: undo } })","toast('Deleted') // no undo option",High
42,Toast Notification,Toast ARIA,toast aria-live role alert,Web,Toast notifications must use proper ARIA live regions,Use role='alert' for errors and aria-live='polite' for info,No ARIA on toast container,"<div role='alert' aria-live='assertive'>{errorToast}</div>","<div class='toast'>{message}</div> // no ARIA",Critical
43,Dark Mode,Color Scheme Meta,color-scheme meta dark,Web,Declare supported color schemes in meta tag and CSS,Add color-scheme: dark light in CSS and meta tag,Only toggle class without declaring scheme,"<meta name='color-scheme' content='light dark'>","// no color-scheme declaration",Medium
44,Dark Mode,Prefers Color Scheme,prefers-color-scheme media query,Web,Respect OS-level dark mode preference as default,Use prefers-color-scheme media query for initial state,Ignore system preference entirely,"@media (prefers-color-scheme: dark) { :root { --bg: #0f172a } }","// hardcoded light theme only",High
45,Dark Mode,Dark Mode Images,dark mode image filter invert,Web,Adjust images and illustrations for dark mode backgrounds,Provide dark variants or use CSS filter for appropriate contrast,Same bright images on dark background,"<picture><source srcset='logo-dark.svg' media='(prefers-color-scheme:dark)'><img src='logo.svg'></picture>","<img src='logo.svg' /> // bright on dark bg",Medium
46,Responsive,Container Queries,container query component,Web,Use container queries for component-level responsive design,Use @container for component sizing independent of viewport,Only viewport-based media queries,"@container (min-width: 400px) { .card { grid-template-columns: 1fr 1fr } }","@media (min-width: 768px) // for component sizing",Low
47,Responsive,Touch Target Size,touch target 44px minimum,Web,Interactive elements need minimum 44x44px touch targets on mobile,Ensure all buttons/links have min 44px touch target with padding,Tiny touch targets on mobile,"<button class='min-h-[44px] min-w-[44px] p-3'>","<button class='p-1 text-xs'> // too small",Critical
48,Responsive,Scroll Snap,scroll-snap carousel mobile,Web,Use scroll-snap for horizontal carousels on touch devices,Implement scroll-snap-type and scroll-snap-align for smooth stops,JavaScript-based carousel without snap,"<div style='scroll-snap-type:x mandatory;overflow-x:auto'>","<div onScroll={handleSnap}> // JS-based",Medium
49,Content,Empty State Design,empty state zero data placeholder,Web,Empty states need helpful illustration and clear CTA for next action,Show contextual message with illustration and primary action CTA,Blank page or generic 'No data' text,"<EmptyState icon={<Inbox />} title='No messages' action='Compose' />","<p>No data</p> // unhelpful",High
50,Content,Loading Error Recovery,error retry fallback boundary,Web,Failed content loads need clear error state with retry action,Show error message with retry button and fallback content option,Silent failure or cryptic error,"<ErrorBoundary fallback={<RetryPanel onRetry={refetch} />}>","// catch silently or show stack trace",High
