STT,Category,Icon Name,Keywords,Library,Import Code,Usage,Best For,Style,Size (px),Color Context,Animation,Aria Label,Paired With,Alt Icons
11,Action,plus,add create new insert append,Lucide,import { Plus } from 'lucide-react',<Plus />,Add new item. Create action. FAB icon. Insert content.,Outline → Filled in FAB,20-24,text-on-brand in FAB | text-brand inline,Rotate 45° to X on add-complete (300ms). Scale pop on FAB.,Add new item,"minus, x, plus-circle","PlusCircle, Plus, FilePlus"
12,Action,minus,remove subtract decrease delete reduce,Lucide,import { Minus } from 'lucide-react',<Minus />,Remove item. Quantity decrease. Collapse section.,Outline,16-20,text-secondary | destructive: text-error,Scale 1→0.9 on click (100ms). Fade out removed item.,Remove item,"plus, trash-2","MinusCircle, Minus"
13,Action,trash-2,delete remove discard bin destroy purge,Lucide,import { Trash2 } from 'lucide-react',<Trash2 />,Delete action. Destructive operation. Clear all.,Outline → Filled on hover,18-20,text-error | hover: bg-error/10,Shake horizontal 3px on hover (300ms). Lid lifts on hover.,Delete item,"undo, rotate-ccw","Trash, Delete, Eraser"
14,Action,edit,pencil modify change update write compose,Lucide,import { Edit } from 'lucide-react',<Edit />,Edit content. Modify item. Inline edit trigger.,Outline,16-18,text-brand | active: text-on-brand,Pencil tip draws small line on hover (200ms).,Edit,"save, check, x","Pencil, PenLine, PenTool"
15,Action,save,disk store persist save commit apply,Lucide,import { Save } from 'lucide-react',<Save />,Save changes. Persist data. Apply settings.,Outline → Filled on save,18-20,text-brand | saving: text-muted animate-pulse,Check mark overlay on success (300ms). Pulse while saving.,Save changes,"edit, check","Download, CheckCircle"
16,Action,download,export save-file download-file get fetch,Lucide,import { Download } from 'lucide-react',<Download />,Download file. Export data. Get asset.,Outline,18-20,text-brand | active: text-success,Arrow drops down 4px on click (200ms). Bounce at bottom.,Download file,"upload, file","ArrowDown, FileDown"
17,Action,upload,import file-upload attach select drop-zone,Lucide,import { Upload } from 'lucide-react',<Upload />,Upload file. Import data. Attach document.,Outline,18-20,text-brand | drag-active: text-success,Arrow lifts up 4px on hover (200ms). Pulse in drop zone.,Upload file,"download, paperclip","ArrowUp, FileUp"
18,Action,copy,duplicate clipboard paste clone replicate,Lucide,import { Copy } from 'lucide-react',<Copy />,Copy to clipboard. Duplicate item. Clone content.,Outline,16-18,text-secondary | copied: text-success,Morph to check on success (300ms). Reset after 2s.,Copy to clipboard,"clipboard, check","ClipboardCopy, Files"
19,Action,share,social distribute send forward viral,Lucide,import { Share } from 'lucide-react',<Share />,Share content. Social distribution. Send to others.,Outline,18-20,text-brand,Arrow lifts up-right 3px on hover (200ms). Ripple on share.,Share,"mail, send, link","Share2, Forward, Send"
20,Action,search,find lookup filter query discover explore,Lucide,import { Search } from 'lucide-react',<Search />,Search input. Find content. Global search bar.,Outline,18-20,text-muted → text-primary on focus,Scale 1→1.05 on focus (150ms). Glass magnifies on hover.,Search,"filter, x, command","SearchCheck, ScanSearch"
21,Action,filter,sort refine narrow options funnel,Lucide,import { Filter } from 'lucide-react',<Filter />,Filter dropdown. Refine results. Sort options.,Outline → Filled when active,16-18,text-secondary | active: text-brand + badge,Fill animation top→bottom (200ms). Badge count pop-in.,Filter results,"search, sort-asc, x","ListFilter, SlidersHorizontal"
22,Action,settings,gear cog preferences config options admin,Lucide,import { Settings } from 'lucide-react',<Settings />,Settings page. Configuration panel. Admin preferences.,Outline,20-24,text-secondary | hover: text-primary,Rotate 90° on hover (400ms ease). Slow continuous in loading.,Settings,"sliders, user, lock","Cog, SlidersHorizontal, Wrench"
23,Action,more-horizontal,overflow menu options kebab actions context,Lucide,import { MoreHorizontal } from 'lucide-react',<MoreHorizontal />,Overflow menu trigger. More actions. Context menu.,Outline,18-20,text-secondary | active: text-primary,Scale 1→1.1 on hover (150ms). Dots pulse on open.,More options,"more-vertical, menu","MoreVertical, Ellipsis"
24,Action,refresh-cw,reload sync update refresh retry,Lucide,import { RefreshCw } from 'lucide-react',<RefreshCw />,Refresh content. Sync data. Retry action.,Outline,18-20,text-secondary | refreshing: text-brand,Rotate 360° on refresh (800ms). Continuous spin while loading.,Refresh,"loader, rotate-ccw","RefreshCcw, RotateCw"
25,Status,check,success done complete verified tick approve,Lucide,import { Check } from 'lucide-react',<Check />,Success state. Task complete. Approval indicator.,Outline → Bold on confirm,16-20,text-success | on-success-bg: text-on-success,Draw stroke L→R (200ms ease-out). Pop scale 0.8→1.,Task complete,"check-circle, x","CheckCircle, CheckCheck"
26,Status,check-circle,success verified approved complete badge,Lucide,import { CheckCircle } from 'lucide-react',<CheckCircle />,Success badge. Verification complete. Approved state.,Filled circle + check,20-24,text-success | bg-success/10 rounded-full,Circle draws then check draws inside (400ms). Confetti optional.,Verified / approved,"x-circle, alert-circle, shield-check","CheckCircle2, BadgeCheck"
27,Status,x-circle,error failed cancel rejected invalid,Lucide,import { XCircle } from 'lucide-react',<XCircle />,Error state. Failed action. Rejected/invalid.,Filled circle + X,20-24,text-error | bg-error/10 rounded-full,Shake 3px horizontal (300ms). Fade-in on error.,Error,"check-circle, alert-triangle","Ban, CircleOff"
28,Status,alert-triangle,warning caution attention danger risk,Lucide,import { AlertTriangle } from 'lucide-react',<AlertTriangle />,Warning message. Caution alert. Risk indicator.,Outline → Filled critical,20-24,text-warning | bg-warning/10,Bounce once on mount (300ms). Pulse for critical.,Warning,"alert-circle, info, shield-alert","TriangleAlert, OctagonAlert"
29,Status,alert-circle,info notice information help attention,Lucide,import { AlertCircle } from 'lucide-react',<AlertCircle />,Info notice. Help indicator. Attention needed.,Outline,20-24,text-info | bg-info/10,Fade-in scale 0.9→1 (200ms).,Information,"info, alert-triangle, help-circle","Info, CircleAlert"
30,Status,info,information help tooltip details about,Lucide,import { Info } from 'lucide-react',<Info />,Tooltip trigger. Help icon. About/details link.,Outline,14-16,text-muted | hover: text-info,Gentle wobble on hover (200ms). Tooltip fade-in.,More information,"help-circle, alert-circle","HelpCircle, CircleHelp"
31,Status,loader,loading spinner processing wait busy,Lucide,import { Loader } from 'lucide-react',<Loader className="animate-spin" />,Loading spinner. Processing state. Wait indicator.,Outline animated,20-24,text-brand animate-spin,Continuous spin 1s linear infinite. Fade-in on mount.,Loading,"loader-2, refresh-cw","Loader2, LoaderCircle"
32,Status,clock,time schedule pending wait duration,Lucide,import { Clock } from 'lucide-react',<Clock />,Time indicator. Schedule marker. Pending state.,Outline,16-18,text-muted | pending: text-warning,Minute hand ticks on hover (300ms). Pulse when pending.,Pending / scheduled,"calendar, timer, hourglass","Timer, Hourglass, ClockAlert"
33,Status,badge-check,verified premium certified trusted authentic,Lucide,import { BadgeCheck } from 'lucide-react',<BadgeCheck />,Verified badge. Premium certification. Trust indicator.,Filled,16-20,text-brand | premium: text-gold,Pop scale 0→1 on verify (300ms spring). Glow pulse premium.,Verified,"shield-check, check-circle","ShieldCheck, Award, Medal"
34,Communication,mail,email message inbox letter envelope contact,Lucide,import { Mail } from 'lucide-react',<Mail />,Email contact. Inbox navigation. Message indicator.,Outline → Filled unread,20-24,text-primary | unread: text-brand + dot,Envelope open on hover (300ms). Dot badge bounce for unread.,Email,"message-circle, send, inbox","Inbox, MailPlus, AtSign"
35,Communication,message-circle,chat comment bubble conversation discuss,Lucide,import { MessageCircle } from 'lucide-react',<MessageCircle />,Chat bubble. Comment section. Conversation thread.,Outline → Filled with msg,20-24,text-primary | unread: text-brand,Typing dots animation in bubble (600ms loop). Pop-in for new msg.,Chat message,"mail, send, message-square","MessageSquare, MessagesSquare"
36,Communication,phone,call mobile telephone contact dial,Lucide,import { Phone } from 'lucide-react',<Phone />,Phone contact. Call action. Dial button.,Outline → Filled active,20-24,text-primary | calling: text-success,Ring vibrate (shake 2px 200ms×3). Pulse when calling.,Phone call,"mail, video","PhoneCall, PhoneIncoming"
37,Communication,send,submit dispatch message airplane post,Lucide,import { Send } from 'lucide-react',<Send />,Send message. Submit form. Post content.,Outline → Filled on send,18-20,text-brand | sending: text-muted,Fly up-right 8px + fade (300ms). Reset after 500ms.,Send message,"mail, message-circle","SendHorizontal, ArrowUpRight"
38,Communication,bell,notification alert ring reminder push,Lucide,import { Bell } from 'lucide-react',<Bell />,Notification bell. Alert indicator. Push notification.,Outline → Filled unread,20-24,text-primary | unread: text-brand + red dot,Ring swing 15° oscillation (400ms). Dot badge pop-in.,Notifications,"bell-off, bell-ring","BellRing, BellDot, BellOff"
39,Communication,bell-dot,notification-unread alert-badge new-notification active-bell,Lucide,import { BellDot } from 'lucide-react',<BellDot />,Active notification. Unread alert with dot indicator.,Outline + dot,20-24,text-primary | dot: bg-error,Ring swing + dot pulse (400ms). Dot scales 0→1.,New notifications,"bell, bell-off","Bell, BellRing"
40,User,user,profile account person avatar identity me,Lucide,import { User } from 'lucide-react',<User />,User profile. Account avatar. Identity indicator.,Outline → Avatar overlay,24-32,text-secondary | active: text-brand,Fade-in scale on mount. Hover: subtle lift 1px.,User profile,"users, user-plus, settings","UserCircle, CircleUser"
41,User,users,team group people members collaboration,Lucide,import { Users } from 'lucide-react',<Users />,Team listing. Group members. Collaboration indicator.,Outline,20-24,text-secondary | active: text-brand,Stagger fade-in L→R (200ms per). Count badge pop.,Team members,"user, user-plus","UsersRound, Group"
42,User,user-plus,add-user invite new-member register sign-up,Lucide,import { UserPlus } from 'lucide-react',<UserPlus />,Invite user. Add team member. Sign-up action.,Outline,20-24,text-brand,Plus sign pops in (200ms spring). Confetti on success.,Invite user,"user-minus, users, mail","UserRoundPlus, PersonStanding"
43,User,log-in,signin authenticate enter access login,Lucide,import { LogIn } from 'lucide-react',<LogIn />,Login action. Sign-in button. Authentication entry.,Outline,20-24,text-brand,Arrow slides right into door (300ms).,Sign in,"log-out, key, lock","DoorOpen, ArrowRightToLine"
44,User,log-out,signout exit leave logout disconnect,Lucide,import { LogOut } from 'lucide-react',<LogOut />,Logout action. Sign-out. End session.,Outline,20-24,text-secondary | hover: text-error,Arrow slides left out of door (300ms).,Sign out,"log-in, x","DoorClosed, ArrowLeftFromLine"
45,Media,image,photo picture gallery thumbnail upload-image,Lucide,import { Image } from 'lucide-react',<Image />,Image display. Photo gallery. Upload image placeholder.,Outline,20-24,text-secondary,Fade-in with subtle scale 0.95→1 (300ms).,Image,"camera, video","ImagePlus, FileImage, Image"
46,Media,video,movie film play record stream camera,Lucide,import { Video } from 'lucide-react',<Video />,Video player. Live stream. Record action.,Outline → Filled recording,20-24,text-primary | recording: text-error,Red dot pulse when recording. Lens focus on hover.,Video,"play, pause, camera","VideoOff, MonitorPlay"
47,Media,play,start video audio media begin resume,Lucide,import { Play } from 'lucide-react',<Play />,Play button. Start media. Resume playback.,Filled,24-48,text-on-brand in circle bg,Scale 0.9→1 on hover (150ms). Morph to pause on play.,Play media,"pause, square","PlayCircle, CirclePlay"
48,Media,pause,stop halt video audio break hold,Lucide,import { Pause } from 'lucide-react',<Pause />,Pause media. Hold playback. Break.,Filled,24-48,text-on-brand in circle bg,Morph from play triangle (200ms). Bars slide in.,Pause media,"play, square","PauseCircle, CirclePause"
49,Media,volume-2,sound audio speaker music volume-on,Lucide,import { Volume2 } from 'lucide-react',<Volume2 />,Volume control. Audio indicator. Sound on.,Outline,18-20,text-primary,Sound waves pulse outward (400ms). Morph to volume-x on mute.,Volume,"volume-x, volume-1","VolumeX, Volume1, Volume"
50,Media,mic,microphone record voice audio podcast input,Lucide,import { Mic } from 'lucide-react',<Mic />,Voice input. Microphone recording. Podcast record.,Outline → Filled recording,20-24,text-primary | recording: text-error pulse,Pulse scale when recording. Sound wave emanate on hover.,Microphone,"mic-off, volume-2","MicOff, AudioLines"
51,Media,camera,photo capture snapshot picture shoot,Lucide,import { Camera } from 'lucide-react',<Camera />,Camera capture. Take photo. Snapshot action.,Outline,20-24,text-primary | capturing: flash-white,Shutter click flash effect (100ms white overlay).,Camera,"image, video","CameraOff, Aperture"
52,Commerce,shopping-cart,cart checkout basket buy purchase order,Lucide,import { ShoppingCart } from 'lucide-react',<ShoppingCart />,Shopping cart. Checkout trigger. Add-to-cart.,Outline → Badge count,24,text-primary | items: badge-brand,Item count badge bounces in. Cart shakes on add item (200ms).,Shopping cart,"shopping-bag, credit-card","ShoppingBag, Package"
53,Commerce,shopping-bag,purchase buy store bag order receipt,Lucide,import { ShoppingBag } from 'lucide-react',<ShoppingBag />,Purchase complete. Store bag. Order placed.,Outline → Filled purchased,20-24,text-primary | purchased: text-success,Bag fills from bottom on purchase (300ms).,Shopping bag,"shopping-cart, package","Package, Store"
54,Commerce,credit-card,payment card checkout stripe billing,Lucide,import { CreditCard } from 'lucide-react',<CreditCard />,Payment method. Card input. Billing section.,Outline,20-24,text-primary,Card slides in from bottom (200ms). Flip on success.,Payment method,"dollar-sign, wallet","Wallet, Banknote"
55,Commerce,dollar-sign,money price currency cost revenue income,Lucide,import { DollarSign } from 'lucide-react',<DollarSign />,Price display. Revenue metric. Currency indicator.,Outline,16-20,text-success | loss: text-error,Subtle scale on value change (150ms). Green/red flash on change.,Price / currency,"credit-card, trending-up","Coins, CircleDollarSign"
56,Commerce,tag,label price discount sale badge category,Lucide,import { Tag } from 'lucide-react',<Tag />,Price tag. Label. Category badge. Sale indicator.,Outline,16-18,text-secondary | sale: text-error,Swing from corner on mount (300ms). Pop-in for new tags.,Price tag,"tags, percent","Tags, Ticket, Label"
57,Commerce,gift,present reward bonus offer referral,Lucide,import { Gift } from 'lucide-react',<Gift />,Gift/reward. Referral bonus. Special offer.,Outline → Filled on reward,20-24,text-warning | reward: text-gold,Bow bounces on hover (300ms). Unwrap animation on claim.,Gift / reward,"percent, star","PartyPopper, Award"
58,Commerce,percent,discount sale offer promo coupon,Lucide,import { Percent } from 'lucide-react',<Percent />,Discount indicator. Sale percentage. Promo code.,Outline,16-18,text-error sale | text-success savings,Scale pop on new discount (200ms). Flash on apply.,Discount,"tag, gift","BadgePercent, Tags"
59,Commerce,wallet,balance account payment crypto money,Lucide,import { Wallet } from 'lucide-react',<Wallet />,Digital wallet. Account balance. Payment method.,Outline,20-24,text-primary | active: text-brand,Open flap on hover (200ms). Coin slide in on deposit.,Wallet,"credit-card, dollar-sign","Coins, Banknote"
60,Data,bar-chart,analytics statistics graph metrics report,Lucide,import { BarChart } from 'lucide-react',<BarChart />,Bar chart. Analytics section. Statistics overview.,Outline,20-24,text-brand | dashboard: text-secondary,Bars grow from bottom stagger 100ms. Hover: bar highlights.,Analytics,"pie-chart, trending-up","BarChart2, BarChart3"
61,Data,pie-chart,statistics distribution breakdown composition,Lucide,import { PieChart } from 'lucide-react',<PieChart />,Distribution chart. Composition breakdown. Statistics.,Outline,20-24,text-brand,Slices fan from center (400ms). Hover: slice lifts.,Distribution,"bar-chart, donut","ChartPie, CircleDot"
62,Data,trending-up,growth increase positive trend rise success,Lucide,import { TrendingUp } from 'lucide-react',<TrendingUp />,Growth indicator. Positive trend. Revenue increase.,Outline,18-20,text-success,Line draws L→R (300ms). Arrow head pops at end.,Trending up,"trending-down, bar-chart","ArrowUpRight, TrendingUp"
63,Data,trending-down,decline decrease negative trend drop loss,Lucide,import { TrendingDown } from 'lucide-react',<TrendingDown />,Decline indicator. Negative trend. Revenue drop.,Outline,18-20,text-error,Line draws L→R downward (300ms). Subtle red flash.,Trending down,"trending-up, bar-chart","ArrowDownRight, TrendingDown"
64,Data,activity,pulse heartbeat monitor live health vitals,Lucide,import { Activity } from 'lucide-react',<Activity />,Activity monitor. Live pulse. Health vital. System heartbeat.,Outline,20-24,text-brand | critical: text-error,Continuous pulse trace animation (1s loop). Flatline on disconnect.,Activity monitor,"heart, bar-chart","HeartPulse, AudioLines"
65,Data,database,storage server data backend collection,Lucide,import { Database } from 'lucide-react',<Database />,Database indicator. Storage section. Data backend.,Outline,20-24,text-secondary | active: text-brand,Stack layers slide in top→bottom (300ms stagger).,Database,"server, hard-drive","HardDrive, Server, Cylinder"
66,Data,line-chart,trend graph time-series chart sparkline,Lucide,import { LineChart } from 'lucide-react',<LineChart />,Trend visualization. Time-series chart. Metrics line graph.,Outline,20-24,text-brand,Line draws L→R (400ms).,Line chart,"bar-chart, trending-up","BarChart, TrendingUp"
67,Files,file,document page paper doc generic,Lucide,import { File } from 'lucide-react',<File />,Generic file. Document page. File browser item.,Outline,18-20,text-secondary,Fade-in scale 0.95→1 (150ms). Corner fold animates.,File,"file-text, folder","FileText, FilePlus"
68,Files,file-text,document text page article readme,Lucide,import { FileText } from 'lucide-react',<FileText />,Text document. Article. README file.,Outline,18-20,text-secondary,Lines appear L→R stagger (200ms).,Text document,"file, folder, book","File, FileCode, BookOpen"
69,Files,folder,directory organize group files container,Lucide,import { Folder } from 'lucide-react',<Folder />,Directory. File group container. Organization.,Outline → Filled with content,18-20,text-warning | empty: text-muted,Open flap on expand (200ms).,Folder,"folder-open, file","FolderOpen, FolderPlus"
70,Files,folder-open,expanded browse files view opened,Lucide,import { FolderOpen } from 'lucide-react',<FolderOpen />,Open directory. Browsing files. Expanded view.,Filled open,18-20,text-warning,Close flap to folder (200ms reverse).,Open folder,"folder, file","Folder, FolderClosed"
71,Files,paperclip,attachment attach file link document,Lucide,import { Paperclip } from 'lucide-react',<Paperclip />,File attachment. Attach document. Email attachment.,Outline,16-18,text-secondary | has-attachment: text-brand,Rotate 15° wobble on attach (200ms).,Attachment,"link, upload","Link, FileUp"
72,Files,link,url hyperlink chain connect anchor,Lucide,import { Link } from 'lucide-react',<Link />,Link URL. Hyperlink. Connection indicator.,Outline,16-18,text-brand | broken: text-error,Chain links connect 200ms. Break animation for broken links.,Link,"external-link, unlink","Link2, Unlink"
73,Files,clipboard,paste copy buffer notes checklist,Lucide,import { Clipboard } from 'lucide-react',<Clipboard />,Clipboard paste. Copy buffer. Notes reference.,Outline,18-20,text-secondary | copied: text-success,Content flash on paste (150ms). Check morph on copy success.,Clipboard,"copy, check","ClipboardCheck, ClipboardList"
74,Layout,grid,tiles gallery layout dashboard cards mosaic,Lucide,import { Grid } from 'lucide-react',<Grid />,Grid view. Gallery layout. Dashboard tiles. Card mosaic.,Outline → Filled active,18-20,text-secondary | active: text-brand,Tiles scale in from center (200ms stagger). Toggle from list.,Grid view,"list, columns","Grid3x3, LayoutGrid"
75,Layout,list,rows table lines items list-view,Lucide,import { List } from 'lucide-react',<List />,List view. Row layout. Table format. Item listing.,Outline → Filled active,18-20,text-secondary | active: text-brand,Lines slide in from left (200ms stagger). Toggle from grid.,List view,"grid, table","ListOrdered, ListChecks"
76,Layout,columns,layout split dual sidebar two-column,Lucide,import { Columns } from 'lucide-react',<Columns />,Two-column layout. Split view. Side-by-side panels.,Outline,18-20,text-secondary,Columns slide in from edges (300ms).,Column layout,"layout, sidebar","Columns3, PanelLeft"
77,Layout,maximize,fullscreen expand enlarge zoom fit-screen,Lucide,import { Maximize } from 'lucide-react',<Maximize />,Fullscreen toggle. Maximize window. Expand to fill.,Outline,16-18,text-secondary | active: text-primary,Corners expand outward (200ms). Arrows animate to edges.,Fullscreen,"minimize, expand","Maximize2, Expand"
78,Layout,minimize,reduce shrink collapse exit-fullscreen,Lucide,import { Minimize } from 'lucide-react',<Minimize />,Minimize window. Reduce size. Exit fullscreen.,Outline,16-18,text-secondary,Corners contract inward (200ms).,Minimize,"maximize, shrink","Minimize2, Shrink"
79,Layout,sidebar,panel drawer navigation menu rail,Lucide,import { Sidebar } from 'lucide-react',<Sidebar />,Sidebar panel. Navigation drawer. Side rail.,Outline → Filled open,18-20,text-secondary | open: text-brand,Slide in from left (300ms ease). Content push animation.,Toggle sidebar,"panel-left, menu","PanelLeft, PanelRight"
80,Social,heart,like love favorite wishlist bookmark save,Lucide,import { Heart } from 'lucide-react',<Heart />,Like action. Favorite. Wishlist add. Love indicator.,Outline → Filled on like,20-24,text-secondary → text-error filled,Scale burst 1→1.3→1 (300ms spring). Color fill red. Particle burst optional.,Like / favorite,"star, bookmark, thumbs-up","HeartOff, HeartCrack"
81,Social,star,rating review favorite bookmark quality,Lucide,import { Star } from 'lucide-react',<Star />,Star rating. Review score. Favorite marker.,Outline → Filled on rate,18-20,text-muted → text-warning filled,Fill from bottom to top (200ms). Sparkle on 5-star.,Rate / favorite,"heart, bookmark","StarHalf, StarOff"
82,Social,thumbs-up,like approve agree positive upvote,Lucide,import { ThumbsUp } from 'lucide-react',<ThumbsUp />,Upvote. Approve action. Agree/positive feedback.,Outline → Filled on like,20-24,text-secondary → text-brand filled,Rotate up 15° on like (200ms). Float up slightly.,Like / agree,"thumbs-down, heart","ThumbsDown, Heart"
83,Social,thumbs-down,dislike disapprove disagree negative downvote,Lucide,import { ThumbsDown } from 'lucide-react',<ThumbsDown />,Downvote. Disapprove. Negative feedback.,Outline → Filled on dislike,20-24,text-secondary → text-error filled,Rotate down 15° on dislike (200ms).,Dislike / disagree,"thumbs-up, flag","ThumbsUp, X"
84,Social,bookmark,save-later favorite mark collection pin,Lucide,import { Bookmark } from 'lucide-react',<Bookmark />,Bookmark save. Read later. Pin to collection.,Outline → Filled saved,18-20,text-secondary → text-brand filled,Slide down 3px then settle (200ms). Fill from top.,Save for later,"heart, star, flag","BookmarkPlus, Pin"
85,Social,flag,report mark important highlight attention,Lucide,import { Flag } from 'lucide-react',<Flag />,Report content. Flag for review. Important marker.,Outline → Filled reported,18-20,text-secondary → text-error reported,Wave flag animation on hover (400ms). Filled on report.,Report / flag,"alert-triangle, shield","FlagOff, AlertTriangle"
86,Social,award,achievement badge trophy recognition medal,Lucide,import { Award } from 'lucide-react',<Award />,Achievement badge. Awards section. Recognition.,Outline → Filled on earn,20-24,text-warning | gold: text-gold,Ribbon bounce on earn (300ms spring). Glow effect.,Achievement,"badge-check, star, trophy","Trophy, Medal, Crown"
87,Device,smartphone,mobile phone device touch responsive,Lucide,import { Smartphone } from 'lucide-react',<Smartphone />,Mobile device. Phone UI indicator. Responsive preview.,Outline,20-24,text-secondary,Screen lights up on hover (fade 200ms).,Mobile device,"tablet, monitor","Phone, DevicePhone"
88,Device,tablet,ipad device touch screen mid-size,Lucide,import { Tablet } from 'lucide-react',<Tablet />,Tablet device. Mid-size preview. iPad.,Outline,20-24,text-secondary,Screen lights up on hover (fade 200ms).,Tablet device,"smartphone, monitor","TabletSmartphone"
89,Device,monitor,desktop screen computer display workstation,Lucide,import { Monitor } from 'lucide-react',<Monitor />,Desktop display. Monitor preview. Workstation.,Outline,20-24,text-secondary,Screen content fade-in on hover (200ms).,Desktop display,"laptop, smartphone","MonitorSmartphone, Tv"
90,Device,laptop,notebook computer portable macbook device,Lucide,import { Laptop } from 'lucide-react',<Laptop />,Laptop/notebook. Portable computer indicator.,Outline,20-24,text-secondary,Lid opens on hover (300ms perspective).,Laptop,"monitor, smartphone","Laptop2, MonitorSmartphone"
91,Security,lock,secure password protected private encrypted,Lucide,import { Lock } from 'lucide-react',<Lock />,Locked state. Password protected. Secure content.,Outline → Filled locked,18-20,text-secondary | locked: text-warning,Shackle closes on lock (200ms). Shake on wrong password.,Locked / secure,"unlock, key, shield","LockKeyhole, KeyRound"
92,Security,unlock,open access unsecure public unlocked,Lucide,import { Unlock } from 'lucide-react',<Unlock />,Unlocked state. Open access. Authentication success.,Outline,18-20,text-secondary | unlocked: text-success,Shackle opens up (200ms). Green flash on unlock.,Unlocked,"lock, key","UnlockKeyhole, LockOpen"
93,Security,shield,protection security safe guard firewall,Lucide,import { Shield } from 'lucide-react',<Shield />,Security shield. Protection indicator. Safe guard.,Outline → Filled secure,20-24,text-secondary | secure: text-success,Pulse glow on verify (300ms). Check mark overlay on secure.,Security,"shield-check, lock","ShieldCheck, ShieldAlert"
94,Security,key,password access unlock login credential,Lucide,import { Key } from 'lucide-react',<Key />,Password key. Access credential. Unlock trigger.,Outline,18-20,text-secondary | active: text-brand,Rotate 45° on authenticate (200ms). Glow on valid.,Access key,"lock, unlock, fingerprint","KeyRound, KeySquare"
95,Security,eye,view show visible password reveal preview,Lucide,import { Eye } from 'lucide-react',<Eye />,Show password. Reveal content. Preview mode.,Outline,18-20,text-secondary | active: text-primary,Iris dilate on view (200ms). Blink transition to eye-off.,Show / view,"eye-off, lock","EyeOff, Scan"
96,Security,eye-off,hide invisible password hidden conceal,Lucide,import { EyeOff } from 'lucide-react',<EyeOff />,Hide password. Conceal content. Privacy mode.,Outline,18-20,text-secondary,Blink close transition from eye (200ms).,Hide,"eye, lock","Eye, EyeClosed"
