No,UI_Category,Recommended_Pattern,Style_Priority,Color_Mood,Typography_Mood,Key_Effects,Decision_Rules,Anti_Patterns,Severity,Dark_Mode_Strategy,AI_Integration_Level,Privacy_Tier,Agent_Readiness,Performance_Budget
29,Photography Studio,Storytelling-Driven + Hero-Centric,Motion-Driven + Minimalism,Black + White + Minimal accent,Elegant + Minimal typography,Full-bleed gallery + Before/after reveal,"{""must_have"": ""portfolio-showcase"", ""if_booking"": ""add-calendar-system""}",Heavy text + Poor image showcase,HIGH,dark-preferred+minimal,portfolio-gen+booking-ai,minimal,4/5 gallery+AI curation,LCP<2.5s; CLS<0.05; INP<150ms
30,Coworking Space,Hero-Centric + Feature-Rich,Vibrant & Block-based + Glassmorphism,Energetic colors + Wood tones + Brand,Modern + Engaging typography,Space tour video + Amenity reveal animations,"{""must_have"": ""virtual-tour"", ""must_have"": ""booking-system""}",Outdated photos + Confusing layout,MEDIUM,light+vibrant-dark,booking-ai+virtual-tour,GDPR+CCPA,4/5 booking structured,LCP<2s; CLS<0.1; INP<150ms
31,Cleaning Service,Conversion-Optimized + Trust,Soft UI Evolution + Flat Design,Fresh Blue (#00B4D8) + Clean White + Green,Friendly + Clear typography,Before/after gallery + Service package reveal,"{""must_have"": ""price-transparency"", ""must_have"": ""trust-badges""}",Poor before/after imagery + Hidden pricing,HIGH,light-first+toggle,schedule-ai+pricing-opt,GDPR+CCPA,5/5 simple agent flow,LCP<1.5s; CLS<0.05; INP<100ms
32,Home Services,Conversion-Optimized + Trust,Flat Design + Trust & Authority,Trust Blue + Safety Orange + Grey,Professional + Clear typography,Emergency contact highlight + Service menu animations,"{""must_have"": ""emergency-contact"", ""must_have"": ""certifications-display""}",Hidden contact info + No certifications,HIGH,light-first+toggle,schedule-ai+emergency-route,GDPR+CCPA,5/5 simple AI booking,LCP<1.5s; CLS<0.05; INP<100ms
33,Childcare/Daycare,Social Proof-Focused + Trust,Claymorphism + Vibrant & Block-based,Playful pastels + Safe colors + Warm,Friendly + Playful typography,Parent portal animations + Activity gallery reveal,"{""must_have"": ""parent-communication"", ""must_have"": ""safety-certifications""}",Generic design + Hidden safety info,HIGH,light+warm-dark,safety-monitor+activity-ai,COPPA+GDPR+SOC2,3/5 trust-sensitive,LCP<2s; CLS<0.05; INP<100ms
34,Senior Care/Elderly,Trust & Authority + Accessible,Accessible & Ethical + Soft UI Evolution,Calm Blue + Warm neutrals + Large text,Large + Clear typography (18px+),Large touch targets + Clear navigation,"{""must_have"": ""wcag-aaa"", ""must_have"": ""family-portal""}",Small text + Complex navigation + AI purple/pink gradients,HIGH,light+high-contrast-dark,voice-assist+med-reminder,HIPAA+WCAG-AAA+508,4/5 accessible AI,LCP<2s; CLS<0.05; INP<100ms
35,Medical Clinic,Trust & Authority + Conversion,Accessible & Ethical + Minimalism,Medical Blue (#0077B6) + Trust White,Professional + Readable typography,Online booking flow + Doctor profile reveals,"{""must_have"": ""appointment-booking"", ""must_have"": ""insurance-info""}",Outdated interface + Confusing booking + AI purple/pink gradients,HIGH,light+trust-dark,symptom-triage+scheduling-ai,HIPAA+GDPR+SOC2,4/5 medical forms,LCP<2s; CLS<0.05; INP<100ms
36,Pharmacy/Drug Store,Conversion-Optimized + Trust,Flat Design + Accessible & Ethical,Pharmacy Green + Trust Blue + Clean White,Clear + Functional typography,Prescription upload flow + Refill reminders,"{""must_have"": ""prescription-management"", ""must_have"": ""drug-interaction-warnings""}",Confusing layout + Privacy concerns + AI purple/pink gradients,HIGH,light+clean-dark,drug-interaction+refill-ai,HIPAA+PCI-DSS+GDPR,4/5 prescription flow,LCP<1.5s; CLS<0.05; INP<100ms
37,Dental Practice,Social Proof-Focused + Conversion,Soft UI Evolution + Minimalism,Fresh Blue + White + Smile Yellow,Friendly + Professional typography,Before/after gallery + Patient testimonial carousel,"{""must_have"": ""before-after-gallery"", ""must_have"": ""appointment-system""}",Poor imagery + No testimonials,HIGH,light-first+toggle,appointment-book+match-ai,HIPAA+GDPR,4/5 booking=easy AI,LCP<2s; CLS<0.05; INP<100ms
38,Veterinary Clinic,Social Proof-Focused + Trust,Claymorphism + Accessible & Ethical,Caring Blue + Pet colors + Warm,Friendly + Welcoming typography,Pet profile management + Service animations,"{""must_have"": ""pet-portal"", ""must_have"": ""emergency-contact""}",Generic design + Hidden services,MEDIUM,light+warm-dark,health-track+vet-tele-ai,GDPR+CCPA,3/5 pet niche,LCP<2s; CLS<0.05; INP<100ms
39,News/Media Platform,Hero-Centric + Feature-Rich,Minimalism + Flat Design,Brand colors + High contrast,Clear + Readable typography,Breaking news badge + Article reveal animations,"{""must_have"": ""mobile-first-reading"", ""must_have"": ""category-navigation""}",Cluttered layout + Slow loading,HIGH,light+reading-dark,summarize-ai+fact-check,GDPR+CCPA+DSA,5/5 text=ideal AI RAG,LCP<1.5s; CLS<0.05; INP<100ms
40,Legal Services,Trust & Authority + Minimal,Trust & Authority + Minimalism,Navy Blue (#1E3A5F) + Gold + White,Professional + Authoritative typography,Practice area reveal + Attorney profile animations,"{""must_have"": ""case-results"", ""must_have"": ""credential-display""}",Outdated design + Hidden credentials + AI purple/pink gradients,HIGH,light+trust-dark,legal-research+doc-review-ai,SOC2+GDPR+privilege,4/5 document AI,LCP<2s; CLS<0.05; INP<100ms
41,Beauty/Spa/Wellness Service,Hero-Centric + Social Proof,Soft UI Evolution + Neumorphism,Soft pastels (Pink Sage Cream) + Gold accents,Elegant + Calming typography,Soft shadows + Smooth transitions (200-300ms) + Gentle hover,"{""must_have"": ""booking-system"", ""must_have"": ""before-after-gallery"", ""if_luxury"": ""add-gold-accents""}",Bright neon colors + Harsh animations + Dark mode,HIGH,light+warm-dark,skin-analysis+recommend-ai,GDPR+CCPA+HIPAA-lite,3/5 visual+booking,LCP<2s; CLS<0.1; INP<150ms
42,Service Landing Page,Hero-Centric + Trust & Authority,Minimalism + Social Proof-Focused,Brand primary + Trust colors,Professional + Clear typography,Testimonial carousel + CTA hover (200ms),"{""must_have"": ""social-proof"", ""must_have"": ""clear-cta""}",Complex navigation + Hidden contact info,HIGH,light-first+toggle,conversion-opt-ai+copy-gen,GDPR+CCPA,5/5 landing=core AI,LCP<1.5s; CLS<0.05; INP<100ms
43,B2B Service,Feature-Rich Showcase + Trust,Trust & Authority + Minimalism,Professional blue + Neutral grey,Formal + Clear typography,Section transitions + Feature reveals,"{""must_have"": ""case-studies"", ""must_have"": ""roi-messaging""}",Playful design + Hidden credentials + AI purple/pink gradients,HIGH,light+corporate-dark,proposal-gen+crm-ai,SOC2+GDPR+CCPA,4/5 enterprise struct,LCP<2s; CLS<0.05; INP<100ms
44,Financial Dashboard,Data-Dense Dashboard,Dark Mode (OLED) + Data-Dense,Dark bg + Red/Green alerts + Trust blue,Clear + Readable typography,Real-time number animations + Alert pulse,"{""must_have"": ""real-time-updates"", ""must_have"": ""high-contrast""}",Light mode default + Slow rendering,HIGH,OLED-dark-default,anomaly-detect+forecast-ai,PCI-DSS+SOC2+GDPR,5/5 financial AI,LCP<1.5s; CLS<0.05; INP<50ms
45,Analytics Dashboard,Data-Dense + Drill-Down,Data-Dense + Heat Map,Cool→Hot gradients + Neutral grey,Clear + Functional typography,Hover tooltips + Chart zoom + Filter animations,"{""must_have"": ""data-export"", ""if_large_dataset"": ""virtualize-lists""}",Ornate design + No filtering,HIGH,dark-preferred+toggle,insight-gen+nl-query-ai,SOC2+GDPR+CCPA,5/5 analytics=prime AI,LCP<1.5s; CLS<0.05; INP<50ms
46,Productivity Tool,Interactive Demo + Feature-Rich,Flat Design + Micro-interactions,Clear hierarchy + Functional colors,Clean + Efficient typography,Quick actions (150ms) + Task animations,"{""must_have"": ""keyboard-shortcuts"", ""if_collaboration"": ""add-real-time-cursors""}",Complex onboarding + Slow performance,HIGH,light-first+toggle,task-suggest+copilot-ai,SOC2+GDPR,5/5 productivity copilot,LCP<1.5s; CLS<0.05; INP<50ms
47,Design System/Component Library,Feature-Rich + Documentation,Minimalism + Accessible & Ethical,Clear hierarchy + Code-like structure,Monospace + Clear typography,Code copy animations + Component previews,"{""must_have"": ""search"", ""must_have"": ""code-examples""}",Poor documentation + No live preview,HIGH,dark-preferred+toggle,component-gen+theme-ai,minimal,5/5 design system AI,LCP<1.5s; CLS<0.05; INP<100ms
48,AI/Chatbot Platform,Interactive Demo + Minimal,AI-Native UI + Minimalism,Neutral + AI Purple (#6366F1),Modern + Clear typography,Streaming text + Typing indicators + Fade-in,"{""must_have"": ""conversational-ui"", ""must_have"": ""context-awareness""}",Heavy chrome + Slow response feedback,HIGH,dark-preferred+toggle,conversational+agent-native,SOC2+GDPR+CCPA,5/5 THE AI pattern,LCP<1.5s; CLS<0.05; INP<50ms
49,NFT/Web3 Platform,Feature-Rich Showcase,Cyberpunk UI + Glassmorphism,Dark + Neon + Gold (#FFD700),Bold + Modern typography,Wallet connect animations + Transaction feedback,"{""must_have"": ""wallet-integration"", ""must_have"": ""gas-fees-display""}",Light mode default + No transaction status,HIGH,dark-default+neon,contract-analysis+price-ai,crypto-regs+GDPR+AML,3/5 Web3 complex,LCP<2.5s; CLS<0.1; INP<150ms
50,Creator Economy Platform,Social Proof + Feature-Rich,Vibrant & Block-based + Bento Box Grid,Vibrant + Brand colors,Modern + Bold typography,Engagement counter animations + Profile reveals,"{""must_have"": ""creator-profiles"", ""must_have"": ""monetization-display""}",Generic layout + Hidden earnings,MEDIUM,light+vibrant-dark,content-rec+monetize-ai,GDPR+CCPA+DSA,4/5 creator feeds,LCP<2s; CLS<0.1; INP<100ms
51,Sustainability/ESG Platform,Trust & Authority + Data,Organic Biophilic + Minimalism,Green (#228B22) + Earth tones,Clear + Informative typography,Progress indicators + Impact animations,"{""must_have"": ""data-transparency"", ""must_have"": ""certification-badges""}",Greenwashing visuals + No data,HIGH,light+earth-dark,carbon-track+impact-predict,ESG+GDPR+TCFD,4/5 data dashboards,LCP<2s; CLS<0.05; INP<100ms
52,Remote Work/Collaboration,Feature-Rich + Real-Time,Soft UI Evolution + Minimalism,Calm Blue + Neutral grey,Clean + Readable typography,Real-time presence indicators + Notification badges,"{""must_have"": ""status-indicators"", ""must_have"": ""video-integration""}",Cluttered interface + No presence,HIGH,light-first+toggle,meeting-summary+presence-ai,SOC2+GDPR,5/5 collab=core copilot,LCP<1.5s; CLS<0.05; INP<50ms
53,Pet Tech App,Storytelling + Feature-Rich,Claymorphism + Vibrant & Block-based,Playful + Warm colors,Friendly + Playful typography,Pet profile animations + Health tracking charts,"{""must_have"": ""pet-profiles"", ""if_health"": ""add-vet-integration""}",Generic design + No personality,MEDIUM,light+warm-dark,pet-health+breed-rec-ai,GDPR+CCPA,3/5 niche pet domain,LCP<2s; CLS<0.1; INP<150ms
54,Smart Home/IoT Dashboard,Real-Time Monitoring,Glassmorphism + Dark Mode (OLED),Dark + Status indicator colors,Clear + Functional typography,Device status pulse + Quick action animations,"{""must_have"": ""real-time-controls"", ""must_have"": ""energy-monitoring""}",Slow updates + No automation,HIGH,OLED-dark-default,automation+energy-opt-ai,SOC2+GDPR+Matter,5/5 IoT native AI,LCP<1.5s; CLS<0.05; INP<50ms
55,EV/Charging Ecosystem,Hero-Centric + Feature-Rich,Minimalism + Aurora UI,Electric Blue (#009CD1) + Green,Modern + Clear typography,Range estimation animations + Map interactions,"{""must_have"": ""charging-map"", ""must_have"": ""range-calculator""}",Poor map UX + Hidden costs,HIGH,light+eco-dark,route-opt+charging-pred-ai,GDPR+CCPA,4/5 map+data struct,LCP<2s; CLS<0.1; INP<150ms
56,Subscription Box Service,Feature-Rich + Conversion,Vibrant & Block-based + Motion-Driven,Brand + Excitement colors,Engaging + Clear typography,Unboxing reveal animations + Product carousel,"{""must_have"": ""personalization-quiz"", ""must_have"": ""subscription-management""}",Confusing pricing + No unboxing preview,HIGH,light+vibrant-dark,personalize+churn-pred-ai,GDPR+CCPA+PCI-DSS,4/5 quiz+sub struct,LCP<2s; CLS<0.1; INP<100ms
57,Podcast Platform,Storytelling + Feature-Rich,Dark Mode (OLED) + Minimalism,Dark + Audio waveform accents,Modern + Clear typography,Waveform visualizations + Episode transitions,"{""must_have"": ""audio-player-ux"", ""must_have"": ""episode-discovery""}",Poor audio player + Cluttered layout,HIGH,OLED-dark-default,transcribe+chapter-detect-ai,GDPR+CCPA,3/5 audio niche,LCP<2s; CLS<0.1; INP<100ms
58,Dating App,Social Proof + Feature-Rich,Vibrant & Block-based + Motion-Driven,Warm + Romantic (Pink/Red gradients),Modern + Friendly typography,Profile card swipe + Match animations,"{""must_have"": ""profile-cards"", ""must_have"": ""safety-features""}",Generic profiles + No safety,HIGH,light+dark-option,compatibility+profile-ai,GDPR+CCPA+safety,3/5 card UI moderate,LCP<2s; CLS<0.1; INP<100ms
59,Micro-Credentials/Badges,Trust & Authority + Feature,Minimalism + Flat Design,Trust Blue + Gold (#FFD700),Professional + Clear typography,Badge reveal animations + Progress tracking,"{""must_have"": ""credential-verification"", ""must_have"": ""progress-display""}",No verification + Hidden progress,MEDIUM,light-first+toggle,skill-verify+credential-ai,GDPR+CCPA,4/5 structured verify,LCP<1.5s; CLS<0.05; INP<100ms
60,Knowledge Base/Documentation,FAQ + Minimal,Minimalism + Accessible & Ethical,Clean hierarchy + Minimal color,Clear + Readable typography,Search highlight + Smooth scrolling,"{""must_have"": ""search-first"", ""must_have"": ""version-switching""}",Poor navigation + No search,HIGH,light+reading-dark,search-ai+content-rec,GDPR+CCPA,5/5 text=ideal RAG,LCP<1.5s; CLS<0.05; INP<50ms
61,Hyperlocal Services,Conversion + Feature-Rich,Minimalism + Vibrant & Block-based,Location markers + Trust colors,Clear + Functional typography,Map hover + Provider card reveals,"{""must_have"": ""map-integration"", ""must_have"": ""booking-system""}",No map + Hidden reviews,HIGH,light-first+toggle,provider-match+review-ai,GDPR+CCPA,4/5 map+booking struct,LCP<2s; CLS<0.1; INP<100ms
62,Luxury/Premium Brand,Storytelling + Feature-Rich,Liquid Glass + Glassmorphism,Black + Gold (#FFD700) + White,Elegant + Refined typography,Slow parallax + Premium reveals (400-600ms),"{""must_have"": ""high-quality-imagery"", ""must_have"": ""storytelling""}",Cheap visuals + Fast animations,HIGH,dark-preferred+luxury,configurator+concierge-ai,GDPR+CCPA+PCI-DSS,3/5 premium limits,LCP<2.5s; CLS<0.1; INP<200ms
63,Fitness/Gym App,Feature-Rich + Data,Vibrant & Block-based + Dark Mode (OLED),Energetic (Orange #FF6B35) + Dark bg,Bold + Motivational typography,Progress ring animations + Achievement unlocks,"{""must_have"": ""progress-tracking"", ""must_have"": ""workout-plans""}",Static design + No gamification,HIGH,OLED-dark-preferred,workout-gen+nutrition-ai,GDPR+CCPA+HIPAA-lite,4/5 progress data,LCP<2s; CLS<0.1; INP<100ms
64,Hotel/Hospitality,Hero-Centric + Social Proof,Liquid Glass + Minimalism,Warm neutrals + Gold (#D4AF37),Elegant + Welcoming typography,Room gallery + Amenity reveals,"{""must_have"": ""room-booking"", ""must_have"": ""virtual-tour""}",Poor photos + Complex booking,HIGH,light+luxury-dark,concierge+booking-opt-ai,GDPR+CCPA+PCI-DSS,4/5 booking struct,LCP<2s; CLS<0.1; INP<150ms
