STT	Style Category	Type	Keywords	Primary Colors	Secondary Colors	Effects & Animation	Best For	Do Not Use For	Light Mode ✓	Dark Mode ✓	Performance	Accessibility	Mobile-Friendly	Conversion-Focused	Framework Compatibility	Era/Origin	Complexity	AI Compatibility	Agent-Ready
11	Retro-Futurism	General	Vintage sci-fi, 80s aesthetic, neon glow, CRT scanlines, pixel art, cyberpunk, synthwave, vaporwave	Neon Blue #0080FF, Hot Pink #FF006E, Cyan #00FFFF, Deep Black #1A1A2E, Purple #5D34D0	Metallic Silver #C0C0C0, Gold #FFD700, duotone, neon accents	CRT scanlines (::before overlay), neon glow (text-shadow+box-shadow), glitch effects (skew/offset)	Gaming, entertainment, music platforms, tech brands, artistic projects, cyberpunk themes	Conservative industries, critical accessibility, professional/corporate, elderly	✓ Full	✓ Dark focused	⚠ Moderate	⚠ High contrast strain	◐ Medium	◐ Medium	Tailwind 8/10, CSS-in-JS 9/10	1980s Retro + 2020s	Medium	Low — niche aesthetic; limited AI integration	No — too stylized for standard agents
12	Flat Design	General	2D, minimalist, bold colors, no shadows, clean lines, simple shapes, typography-focused, icon-heavy	Solid bright: Red, Orange, Blue, Green, limited palette (4-6 max)	Complementary colors, muted secondaries, high saturation, clean accents	No gradients/shadows, simple hover (color/opacity shift), fast loading, clean transitions (150-200ms)	Web apps, mobile apps, cross-platform, startup MVPs, SaaS, dashboards, corporate	Complex 3D, premium/luxury, artistic portfolios, immersive experiences	✓ Full	✓ Full	⚡ Excellent	✓ WCAG AAA	✓ High	✓ High	Tailwind 10/10, Bootstrap 10/10, MUI 9/10	2010s Modern	Low	High — clean flat structure ideal for AI-generated layouts	Yes — flat design is efficient for agent interfaces
13	Skeuomorphism	General	Realistic, texture, depth, real-world metaphors, shadows, gradients, tactile, detailed, material	Rich realistic: wood, leather, metal colors, detailed gradients (8-12 stops)	Realistic lighting gradients, shadow variations (30-50% darker), texture overlays	Realistic shadows (layers), depth (perspective), texture details (noise, grain), tactile animations (300-500ms)	Legacy apps, gaming, immersive storytelling, premium products, luxury, realistic simulations	Modern enterprise, critical accessibility, low-performance, web (use Flat/Modern)	◐ Partial	◐ Partial	❌ Heavy	⚠ Textures reduce readability	✗ Low	◐ Medium	CSS-in-JS 7/10, Custom 8/10	2007-2012 iOS	High	Low — heavy visual style conflicts with dynamic AI content	No — too heavy for agent interfaces
14	Liquid Glass	General	Flowing glass, morphing, smooth transitions, fluid effects, translucent, animated blur, iridescent, chromatic	Vibrant iridescent (rainbow spectrum), translucent base with opacity shifts	Chromatic aberration (Red-Cyan), iridescent oil-spill, fluid gradient blends, holographic	Morphing elements (SVG/CSS), fluid animations (400-600ms), dynamic blur (backdrop-filter), color transitions	Premium SaaS, high-end e-commerce, creative platforms, branding, luxury portfolios	Performance-limited, critical accessibility, complex data, budget projects	✓ Full	✓ Full	⚠ Moderate (GPU required)	⚠ Text contrast over effects	◐ Medium	✓ High	Framer Motion 10/10, GSAP 10/10	2020s Modern	High	Medium — premium feel for AI product configurators	Partial — liquid effects suit premium AI experiences
15	Motion-Driven	General	Animation-heavy, microinteractions, scroll effects, parallax, entrance animations, page transitions, View Transitions	Bold colors emphasize movement, high contrast animated, dynamic gradients	Transitional states: success #22C55E, error #EF4444, neutral feedback	Scroll anim (Intersection Observer), View Transitions API, parallax (3-5 layers), GPU accelerated	Portfolio sites, storytelling, interactive experiences, entertainment, creative, SaaS landing	Data dashboards, critical accessibility, low-power devices, content-heavy, motion-sensitive	✓ Full	✓ Full	⚠ Good	⚠ Prefers-reduced-motion required	✓ Good	✓ High	GSAP 10/10, Framer Motion 10/10	2020s Modern	High	Medium — animations enhance AI reveal moments and loading states	Partial — motion suits agent transition states
16	Micro-interactions	General	Small animations, gesture-based, tactile feedback, subtle, contextual, responsive, haptic, state feedback	Subtle color shifts (10-20%), feedback: Green #22C55E, Red #EF4444, Amber #F59E0B	Accent feedback, neutral supporting, clear action indicators	Small hover (50-100ms), skeleton loading, success/error states, gesture-triggered, haptic API	Mobile apps, touchscreen UIs, productivity tools, consumer apps, AI interfaces	Desktop-only, critical performance, accessibility-first (alternatives needed)	✓ Full	✓ Full	⚡ Excellent	✓ Good	✓ High	✓ High	Framer Motion 10/10, React Spring 9/10	2020s Modern	Medium	Very High — micro-interactions essential for AI feedback loops and streaming	Yes — agent status indicators rely on micro-interactions
17	Inclusive Design	General	Accessible, color-blind friendly, high contrast, haptic, voice interaction, screen reader, WCAG AAA, universal	WCAG AAA (7:1+ contrast), avoid red-green only, symbol-based indicators	Supporting patterns (stripes, dots, hatch), symbols, non-color indicators	Haptic feedback, voice guidance, focus indicators (4px+ ring), motion options, semantic HTML	Public services, education, healthcare, finance, government, accessible consumer	None — accessibility is universal	✓ Full	✓ Full	⚡ Excellent	✓ WCAG AAA	✓ High	✓ High	All frameworks 10/10	Universal	Low	Very High — foundational for AI accessibility tools	Yes — inclusive patterns mandatory for all agents
18	Zero Interface	General	Minimal visible UI, voice-first, gesture-based, AI-driven, invisible controls, predictive, context-aware, ambient	Neutral backgrounds: Soft white #FAFAFA, light grey #F0F0F0, warm off-white #F5F1E8	Subtle feedback: light green, light red, minimal UI elements, soft accents	Voice recognition UI, gesture detection, AI predictions (smooth reveal), progressive disclosure, popover API	Voice assistants, AI platforms, smart home, contextual computing, ambient experiences, agent-first	Complex workflows, data-entry heavy, traditional systems, legacy support	✓ Full	✓ Full	⚡ Excellent	✓ Excellent	✓ High	✓ High	Tailwind 10/10, Custom 10/10	2020s AI-Era	Low	Essential — this IS the AI-native interface pattern	Yes — designed for agent-first interactions
19	Soft UI Evolution	General	Evolved soft UI, better contrast, modern aesthetics, subtle depth, accessibility-focused, improved shadows	Improved contrast pastels: Soft Blue #87CEEB, Soft Pink #FFB6C1, Soft Green #90EE90	Better combinations, accessible secondary, modern accents, color-mix() palette	Improved shadows (softer than flat, clearer than neumorphism), modern (200-300ms), WCAG AA+	Modern enterprise, SaaS, health/wellness, professional tools, hybrid apps	Extreme minimalism, critical performance, systems without modern CSS	✓ Full	✓ Full	⚡ Excellent	✓ WCAG AA+	✓ High	✓ High	Tailwind 9/10, MUI 9/10, Chakra 9/10	2020s Modern	Medium	High — calm aesthetic works for AI wellness and enterprise tools	Yes — soft UI suits calm agent interfaces
20	Hero-Centric Design	Landing Page	Large hero section, compelling headline, high-contrast CTA, product showcase, value proposition, hero image/video	Brand primary, white/light backgrounds for contrast, accent color for CTA	Supporting colors for secondary CTAs, accent highlights, trust elements	Smooth scroll reveal, fade-in on hero, subtle background parallax, CTA glow/pulse, View Transitions	SaaS landing pages, product launches, service pages, B2B platforms, tech companies	Complex navigation, multi-page experiences, data-heavy applications	✓ Full	✓ Full	⚡ Good	✓ WCAG AA	✓ Full	✓ Very High	Tailwind 10/10, Bootstrap 9/10	2020s Modern	Medium	High — hero sections can showcase AI capabilities dynamically	Partial — hero can introduce agent capabilities
21	Conversion-Optimized	Landing Page	Form-focused, single CTA focus, high contrast, urgency, trust signals, social proof, A/B testable	Primary brand, high-contrast backgrounds, urgency colors for time-limited offers	Secondary CTA (muted), trust element colors, accent for key benefits	Hover states on CTA (color shift, scale), form focus animations, loading spinner, success feedback	E-commerce, free trial signups, lead generation, SaaS pricing, limited-time offers	Complex feature explanations, multi-product showcases, technical documentation	✓ Full	✓ Full	⚡ Excellent	✓ WCAG AA	✓ Full (mobile-optimized)	✓ Very High	Tailwind 10/10, Bootstrap 9/10	2020s Modern	Medium	High — AI can dynamically optimize CTAs and pricing	Yes — agents can personalize conversion elements
22	Feature-Rich Showcase	Landing Page	Multiple feature sections, grid layout, benefit cards, visual demonstrations, interactive elements, problem-solution	Primary brand, bright secondary for feature cards, contrasting accent for CTAs	Benefits (green), problems (red/orange), features (blue/purple), social proof (neutral)	Card hover effects (lift/scale), icon animations on scroll, feature toggle, smooth section transitions	Enterprise SaaS, software tools, platform services, complex product explanations, B2B	Simple product pages, early-stage startups with few features, entertainment	✓ Full	✓ Full	⚡ Good	✓ WCAG AA	✓ Good	✓ High	Tailwind 10/10, MUI 9/10	2020s Modern	Medium	High — feature grids can be AI-generated and personalized	Yes — agents can highlight relevant features per user
23	Minimal & Direct	Landing Page	Minimal text, white space heavy, single column, direct messaging, clean typography, visual-centric, fast	Monochromatic primary, white background, single accent for CTA, dark text	Minimal secondary, reserved for critical CTAs only, neutral supporting	Very subtle hover, minimal animations, fast page load, smooth scroll	Simple service pages, indie products, consulting, micro SaaS, freelancer portfolios	Feature-heavy products, complex explanations, multi-product showcases	✓ Full	✓ Full	⚡ Excellent	✓ WCAG AAA	✓ Full	✓ High	Tailwind 10/10, Bootstrap 9/10	2020s Modern	Low	High — minimal structure ideal for AI-generated content	Yes — clean layout suits single-purpose agents
24	Social Proof-Focused	Landing Page	Testimonials prominent, client logos, case studies, reviews/ratings, user avatars, success metrics, credibility	Primary brand, trust colors (blue), success/growth (green), neutral backgrounds	Testimonial highlights, logo grid backgrounds, badge/achievement colors	Testimonial carousel, logo grid fade-in, stat counter animations, review star ratings, structured data	B2B SaaS, professional services, premium products, e-commerce conversion, established brands	Startup MVPs, products without users, niche/experimental products	✓ Full	✓ Full	⚡ Good	✓ WCAG AA	✓ Full	✓ High	Tailwind 10/10, Framer Motion 9/10	2020s Modern	Medium	High — AI can curate and personalize social proof per visitor	Yes — agents can surface relevant testimonials
25	Interactive Product Demo	Landing Page	Embedded product mockup/video, interactive elements, walkthrough, step-by-step, hover-to-reveal, embedded demos	Primary brand, interface colors matching product, demo highlight colors	Product UI colors, tutorial step colors, hover state indicators	Product animation playback, step progression, hover reveal effects, smooth zoom on interaction	SaaS platforms, tool/software products, productivity apps, developer tools	Simple services, consulting, non-digital products, complexity-averse audiences	✓ Full	✓ Full	⚠ Good (video/interactive)	✓ WCAG AA	✓ Good	✓ Very High	Tailwind 10/10, Framer Motion 10/10	2020s Modern	Medium	Very High — AI can personalize demo flows based on user context	Yes — agents can guide interactive demos
26	Trust & Authority	Landing Page	Certificates/badges, expert credentials, case studies with metrics, before/after, industry recognition, security	Professional (blue/grey), trust colors, certification badge colors (gold/silver)	Certificate highlights, metric showcase, comparison highlight (success green)	Badge hover effects, metric pulse animations, certificate carousel, smooth stat reveal	Healthcare, financial services, enterprise software, premium/luxury, legal services	Casual products, entertainment, viral/social-first products	✓ Full	✓ Full	⚡ Excellent	✓ WCAG AAA	✓ Full	✓ High	Tailwind 10/10, Bootstrap 9/10	2020s Modern	Medium	Medium — trust signals essential for enterprise AI adoption	Yes — agents need trust indicators for credibility
27	Storytelling-Driven	Landing Page	Narrative flow, visual story progression, section transitions, emotional messaging, journey visualization, scroll-driven	Brand primary, warm/emotional colors, varied accent per story section	Story section color coding, emotional state colors, transitional gradients	Section-to-section animations, scroll-triggered reveals, scroll-timeline API, morphing transitions	Brand stories, mission-driven products, premium/lifestyle, documentary-style, educational	Technical/complex products (unless narrative), traditional enterprise software	✓ Full	✓ Full	⚠ Moderate (animations)	✓ WCAG AA	✓ Good	✓ High	GSAP 10/10, Framer Motion 10/10	2020s Modern	High	Medium — narrative flow works for AI-powered personalized stories	Partial — agents can adapt story based on user context
28	Data-Dense Dashboard	BI/Analytics	Multiple charts/widgets, data tables, KPI cards, minimal padding, grid layout, space-efficient, maximum data	Neutral primary (#F5F5F5), data colors (blue/green/red), dark text #333333	Chart: success #22C55E, warning #F59E0B, alert #EF4444, neutral grey	Hover tooltips, chart zoom, row highlighting, smooth filter animations, skeleton loading, virtual scrolling	Business intelligence, financial analytics, enterprise reporting, operational dashboards, AI monitoring	Marketing dashboards, consumer-facing analytics, simple reporting	✓ Full	✓ Full	⚡ Excellent	✓ WCAG AA	◐ Medium	✗ Not applicable	Recharts 10/10, Chart.js 9/10, D3 10/10	2020s Modern	Medium	Very High — data-dense layouts essential for AI analytics and model monitoring	Yes — agents need dense data views for decision support
29	Heat Map & Heatmap Style	BI/Analytics	Color-coded grid/matrix, data intensity, geographical heat maps, correlation matrices, gradient coloring	Gradient: Cool blue #0080FF to hot red #FF0000, neutral middle (white/yellow)	Divergent for positive/negative, monochromatic options, sequential scales	Color gradient transitions, cell highlighting on hover, tooltip reveal, smooth color animation	Geographical analysis, performance matrices, correlation analysis, user behavior, AI attention maps	Linear data, categorical comparisons (use bar charts), small datasets	✓ Full	✓ Full (adjusted)	⚡ Excellent	⚠ Colorblind considerations	◐ Medium	✗ Not applicable	D3 10/10, Recharts 9/10	2020s Modern	Medium	High — heat maps visualize AI model attention and feature importance	Yes — agents use heat maps for anomaly detection
30	Executive Dashboard	BI/Analytics	High-level KPIs, large key metrics, minimal detail, summary view, trend indicators, at-a-glance insights	Brand colors, professional (blue/grey/white), accent for KPIs, red for alerts	KPI highlight: positive (green), negative (red), neutral (grey), trend arrows	KPI value animations (count-up), trend arrow animations, metric card hover lift, alert pulse	C-suite dashboards, business summary, decision-maker views, strategic planning, AI executive briefs	Detailed analyst dashboards, technical deep-dives, operational monitoring	✓ Full	✓ Full	⚡ Excellent	✓ WCAG AA	◐ Medium	✗ Not applicable	Recharts 9/10, Chart.js 9/10	2020s Modern	Low	High — AI can generate executive summaries and highlight anomalies	Yes — agents surface key insights for executives
31	Real-Time Monitoring	BI/Analytics	Live data updates, status indicators, alert notifications, streaming data, active monitoring, WebSocket	Alert: critical #FF0000, warning #FFA500, normal #22C55E, updating (blue animation)	Status indicator colors, chart line colors, streaming data highlights	Real-time chart animations, alert pulse/glow, status blink, smooth data stream, WebSocket integration	System monitoring, DevOps, real-time analytics, stock market, live event tracking, AI model monitoring	Historical analysis, long-term trend reports, archived data	✓ Full	✓ Full	⚡ Good (real-time load)	✓ WCAG AA	◐ Medium	✗ Not applicable	Recharts 9/10, D3 10/10, Custom 10/10	2020s Modern	Medium	Very High — real-time monitoring is core for AI system health and agent orchestration	Yes — agents require real-time status monitoring
32	Drill-Down Analytics	BI/Analytics	Hierarchical data exploration, expandable sections, interactive drill-down, summary-to-detail, context preservation	Primary brand, breadcrumb colors, drill-level indicators, hierarchy depth colors	Drill-down path indicators, level-specific colors, highlight for selected level	Drill-down expand animations, breadcrumb transitions, smooth detail reveal, data reload animation	Sales analytics, product analytics, funnel analysis, multi-dimensional exploration, AI model debugging	Simple linear data, single-metric dashboards, streaming real-time	✓ Full	✓ Full	⚡ Good	✓ WCAG AA	◐ Medium	✗ Not applicable	Recharts 9/10, D3 10/10	2020s Modern	Medium	High — drill-down patterns essential for AI model explainability	Yes — agents use drill-down for root cause analysis
33	Comparative Analysis	BI/Analytics	Side-by-side comparisons, period-over-period, A/B test results, regional comparisons, benchmarks	Comparison: primary (blue), comparison (orange/purple), delta (green/red)	Winning (green), losing (red), neutral (grey), benchmark colors	Comparison bar animations, delta indicators, highlight on compare, smooth transitions	Period-over-period, A/B test dashboards, market comparison, competitive analysis, AI model comparison	Single metric dashboards, future projections, real-time only	✓ Full	✓ Full	⚡ Excellent	✓ WCAG AA	◐ Medium	✗ Not applicable	Recharts 9/10, Chart.js 9/10	2020s Modern	Medium	High — essential for AI A/B testing and model version comparison	Yes — agents compare model performance metrics
34	Predictive Analytics	BI/Analytics	Forecast lines, confidence intervals, trend projections, scenario modeling, AI-driven insights, anomaly detection	Forecast line (distinct from actual), confidence interval shading, anomaly highlight (red)	High confidence (dark), low confidence (light), anomaly (red/orange), normal trend (green/blue)	Forecast line animation, confidence band fade-in, anomaly pulse alert, smoothing animations	Forecasting dashboards, anomaly detection, trend prediction, AI-powered analytics, budget planning	Historical-only dashboards, simple reporting, real-time operational	✓ Full	✓ Full	⚠ Good (computation)	✓ WCAG AA	◐ Medium	✗ Not applicable	D3 10/10, Recharts 9/10	2020s Modern	Medium	Essential — predictive analytics IS AI visualization; confidence intervals and uncertainty display	Yes — agents generate and explain predictions
35	User Behavior Analytics	BI/Analytics	Funnel visualization, user flow diagrams, conversion tracking, engagement metrics, journey mapping, cohort	Funnel: high engagement (green), drop-off (red), conversion (blue), flow arrows (grey)	Stage completion (success), abandonment (warning), engagement levels (gradient), cohort colors	Funnel animation (fill-down), flow diagram animations, conversion pulse, engagement bar fill	Conversion funnel, user journey tracking, engagement analytics, cohort analysis, AI personalization	Real-time operational metrics, technical monitoring, financial transactions	✓ Full	✓ Full	⚡ Good	✓ WCAG AA	✓ Good	✗ Not applicable	Recharts 9/10, D3 10/10	2020s Modern	Medium	Very High — user behavior data drives AI personalization engines	Yes — agents optimize funnels based on behavior data
36	Financial Dashboard	BI/Analytics	Revenue metrics, profit/loss, budget tracking, financial ratios, portfolio, cash flow, audit trail	Financial: profit #22C55E, loss #EF4444, neutral grey, trust dark blue #003366	Revenue (green), expenses (red), budget variance (orange), balance (grey), accuracy (blue)	Number animations (count-up), trend indicators, percentage change, profit/loss color transitions	Financial reporting, accounting, portfolio tracking, budget monitoring, banking analytics, AI risk	Simple business dashboards, entertainment/social metrics, non-financial data	✓ Full	✓ Full	⚡ Excellent	✓ WCAG AAA	✗ Low	✗ Not applicable	Recharts 9/10, Chart.js 9/10	2020s Modern	Medium	High — AI fraud detection and risk scoring integrate with financial dashboards	Yes — agents monitor financial anomalies in real-time
37	Sales Intelligence	BI/Analytics	Deal pipeline, sales metrics, territory performance, leaderboard, win-loss, quota tracking, forecast	Sales: won (green), lost (red), in-progress (blue), blocked (orange), quota met (gold)	Pipeline stage colors, rep performance, quota achievement, forecast accuracy colors	Deal movement animations, metric updates, leaderboard changes, gauge movements, status highlights	CRM dashboards, sales management, opportunity tracking, performance management, AI lead scoring	Marketing analytics, customer support metrics, HR dashboards	✓ Full	✓ Full	⚡ Good	✓ WCAG AA	◐ Medium	✗ Not applicable	Recharts 9/10, Chart.js 9/10	2020s Modern	Medium	Very High — AI lead scoring and pipeline prediction are core sales intelligence features	Yes — agents prioritize deals and suggest next actions
38	Neubrutalism	General	Bold borders, black outlines, primary colors, thick shadows, no gradients, flat, playful, Gen Z, ugly-cute	Pop Yellow #FFDB58, Bright Red #FF6B6B, Teal #4ECDC4, Black #000000	Lavender #CBA6F7, Mint #76E0C2, limited accent	Hard hover shifts (4px), marquee scrolling, jitter animations, bold borders 3px+, hard shadow 5px 5px 0	Gen Z brands, startups, creative agencies, design tools, personal blogs, developer tools	Banking, legal, healthcare, serious enterprise, elderly users, luxury	✓ Full	✓ Full	⚡ Excellent	✓ WCAG AAA	✓ High	✓ High	Tailwind 10/10, Plain CSS 10/10	2020s Modern	Low	Medium — bold style works for AI tool landing pages	Partial — works for developer-focused AI agents
39	Bento Box Grid	General	Modular cards, asymmetric grid, varied sizes (1x1, 2x1, 2x2, 3x1), Apple-style, dashboard tiles, clean hierarchy	Neutral base + brand accent, #FFFFFF, #F5F5F7, brand primary	Subtle gradients, shadow variations, accent highlights, subgrid for alignment	Grid with varied spans, rounded-xl (16-24px), subtle shadows, hover scale (1.02), container queries	Dashboards, product pages, portfolios, Apple-style marketing, feature showcases, SaaS, AI platforms	Dense data tables, text-heavy content, real-time monitoring	✓ Full	✓ Full	⚡ Excellent	✓ WCAG AA	✓ High	✓ High	Tailwind 10/10, CSS Grid 10/10	2020s Apple/Linear	Low	High — modular grid perfect for AI-generated content blocks	Yes — agents can populate bento cards dynamically
40	Y2K Aesthetic	General	Neon pink, chrome, metallic, bubblegum, iridescent, glossy, retro-futurism, 2000s, futuristic nostalgia	Hot Pink #FF69B4, Cyan #00FFFF, Silver #C0C0C0, Purple #9400D3	Metallic gradients, glossy overlays, iridescent effects, chrome textures	Linear-gradient metallic, glossy buttons, 3D chrome effects, glow animations, bubble shapes	Fashion brands, music platforms, Gen Z brands, nostalgia marketing, entertainment	B2B enterprise, healthcare, finance, conservative industries, elderly	✓ Full	◐ Partial	⚠ Good	⚠ Check contrast	✓ Good	✓ High	Tailwind 8/10, CSS-in-JS 9/10	Y2K 2000s	Medium	Low — niche aesthetic with limited AI integration	No — too stylized for standard agents
